Realm,Broad Type,Ecosystem Type,Subrealm
Terrestrial,Albany Thicket,Albany Mesic Thicket,Semi-coastal vegetation
Terrestrial,Albany Thicket,Bethelsdorp Bontveld,Semi-coastal vegetation
Terrestrial,Albany Thicket,Elands Forest Thicket,Semi-coastal vegetation
Terrestrial,Albany Thicket,Goukamma Dune Thicket,Coastal vegetation
Terrestrial,Albany Thicket,Gouritz Valley Thicket,Semi-coastal vegetation
Terrestrial,Albany Thicket,Grassridge Bontveld,Semi-coastal vegetation
Terrestrial,Albany Thicket,Hamburg Dune Thicket,Coastal vegetation
Terrestrial,Albany Thicket,Hartenbos Dune Thicket,Coastal vegetation
Terrestrial,Albany Thicket,Kasouga Dune Thicket,Coastal vegetation
Terrestrial,Albany Thicket,Motherwell Karroid Thicket,Semi-coastal vegetation
Terrestrial,Albany Thicket,Sardinia Forest Thicket,Semi-coastal vegetation
Terrestrial,Albany Thicket,St Francis Dune Thicket,Coastal vegetation
Terrestrial,Albany Thicket,Umtiza Forest Thicket,Semi-coastal vegetation
Terrestrial,Desert,Alexander Bay Coastal Duneveld,Coastal vegetation
Terrestrial,Desert,Namib Lichen Fields,Semi-coastal vegetation
Terrestrial,Desert,Western Gariep Plains Desert,Coastal vegetation
Terrestrial,Forests,Mangrove Forest,Coastal vegetation
Terrestrial,Forests,Northern Coastal Forest,Coastal vegetation
Terrestrial,Forests,Southern Afrotemperate Forest,Semi-coastal vegetation
Terrestrial,Forests,Southern Coastal Forest,Coastal vegetation
Terrestrial,Forests,Swamp Forest,Coastal vegetation
Terrestrial,Fynbos,Agulhas Limestone Fynbos,Coastal vegetation
Terrestrial,Fynbos,Agulhas Sand Fynbos,Coastal vegetation
Terrestrial,Fynbos,Albertinia Sand Fynbos,Semi-coastal vegetation
Terrestrial,Fynbos,Algoa Sandstone Fynbos,Coastal vegetation
Terrestrial,Fynbos,Atlantis Sand Fynbos,Semi-coastal vegetation
Terrestrial,Fynbos,Canca Limestone Fynbos,Coastal vegetation
Terrestrial,Fynbos,Cape Flats Dune Strandveld,Coastal vegetation
Terrestrial,Fynbos,Cape Flats Sand Fynbos,Semi-coastal vegetation
Terrestrial,Fynbos,Cape Winelands Shale Fynbos,Semi-coastal vegetation
Terrestrial,Fynbos,De Hoop Limestone Fynbos,Semi-coastal vegetation
Terrestrial,Fynbos,Eastern Coastal Shale Band Vegetation,Semi-coastal vegetation
Terrestrial,Fynbos,Elim Ferricrete Fynbos,Semi-coastal vegetation
Terrestrial,Fynbos,Garden Route Granite Fynbos,Coastal vegetation
Terrestrial,Fynbos,Garden Route Shale Fynbos,Semi-coastal vegetation
Terrestrial,Fynbos,Goukamma Strandveld,Semi-coastal vegetation
Terrestrial,Fynbos,Groot Brak Dune Strandveld,Coastal vegetation
Terrestrial,Fynbos,Grootbos Strandveld,Semi-coastal vegetation
Terrestrial,Fynbos,Hangklip Sand Fynbos,Coastal vegetation
Terrestrial,Fynbos,Hopefield Sand Fynbos,Semi-coastal vegetation
