type,mapcode
Aggeneys Gravel Vygieveld,SKr19
Agter-Sederberg Shrubland,SKv3
Agulhas Limestone Fynbos,FFl1
Agulhas Sand Fynbos,FFd7
Albany Alluvial Vegetation,AZa6
Albany Arid Thicket,AT15
Albany Bontveld,AT16
Albany Broken Veld,NKl4
Albany Mesic Thicket,AT17
Albany Valley Thicket,AT18
Albertinia Sand Fynbos,FFd9
Alexander Bay Coastal Duneveld,Dn1
Algoa Sandstone Fynbos,FFs29
Aliwal North Dry Grassland,Gh2
Amathole Mistbelt Grassland,Gd2
Amathole Montane Grassland,Gd1
Amersfoort Highveld Clay Grassland,Gm13
Andesite Mountain Bushveld,SVcb11
Anenous Plateau Shrubland,SKr15
Atlantis Sand Fynbos,FFd4
Auob Duneveld,SVkd3
Barberton Montane Grassland,Gm17
Barberton Serpentine Sourveld,SVl13
Basotho Montane Shrubland,Gm5
Baviaans Valley Thicket,AT19
Baviaanskloof Shale Renosterveld,FRs18
Bedford Dry Grassland,Gs18
Besemkaree Koppies Shrubland,Gh4
Bethelsdorp Bontveld,AT20
Bhisho Thornveld,SVs7
Bloemfontein Dry Grassland,Gh5
Bloemfontein Karroid Shrubland,Gh8
Blouputs Karroid Thornveld,NKb2
Bokkeveld Sandstone Fynbos,FFs1
Boland Granite Fynbos,FFg2
Breede Alluvium Fynbos,FFa2
Breede Alluvium Renosterveld,FRa1
Breede Quartzite Fynbos,FFq4
Breede Sand Fynbos,FFd8
Breede Shale Fynbos,FFh4
Breede Shale Renosterveld,FRs8
Buffels Mesic Thicket,AT21
Buffels Valley Thicket,AT22
Bushmanland Arid Grassland,NKb3
Bushmanland Basin Shrubland,NKb6
Bushmanland Inselberg Shrubland,SKr18
Bushmanland Sandy Grassland,NKb4
Bushmanland Vloere,AZi5
Canca Limestone Fynbos,FFl3
Cape Flats Dune Strandveld,FS6
Cape Flats Sand Fynbos,FFd5
Cape Lowland Alluvial Vegetation,AZa2
Cape Seashore Vegetation,AZd3
Cape Winelands Shale Fynbos,FFh5
Carletonville Dolomite Grassland,Gh15
Cathedral Mopane Bushveld,SVmp3
Cederberg Sandstone Fynbos,FFs4
Central Coastal Shale Band Vegetation,FFb4
Central Free State Grassland,Gh6
Central Inland Shale Band Vegetation,FFb3
Central Knersvlakte Vygieveld,SKk2
Central Mountain Shale Renosterveld,FRs5
Central Richtersveld Mountain Shrubland,SKr1
Central Ruens Shale Renosterveld,FRs12
Central Sandy Bushveld,SVcb12
Central Sandy Mountain Bushveld,SVcb29
Ceres Shale Renosterveld,FRs4
Citrusdal Shale Renosterveld,FRs20
Citrusdal Vygieveld,SKk7
Crocodile Gorge Mountain Bushveld,SVl27
Crossroads Grassland Thicket,AT23
De Hoop Limestone Fynbos,FFl2
Delagoa Lowveld,SVl4
Die Plate Succulent Shrubland,SKr10
Doringrivier Quartzite Karoo,SKv1
Doubledrift Karroid Thicket,AT24
