mapcode,ecotype,zone,extent,ets,epl,realm,threatened,rlm
AT17,Albany Mesic Thicket,Semi-coastal vegetation,576.74,LC,MP,Coastal Terrestrial,0,T
AT20,Bethelsdorp Bontveld,Semi-coastal vegetation,20.0016,LC,NP,Coastal Terrestrial,0,T
AT26,Elands Forest Thicket,Semi-coastal vegetation,30.174,LC,PP,Coastal Terrestrial,0,T
AT36,Goukamma Dune Thicket,Coastal vegetation,29.7644,CR,WP,Coastal Terrestrial,1,T
AT37,Gouritz Valley Thicket,Semi-coastal vegetation,106.1272,CR,NP,Coastal Terrestrial,1,T
AT39,Grassridge Bontveld,Semi-coastal vegetation,216.984,LC,PP,Coastal Terrestrial,0,T
AT56,Hamburg Dune Thicket,Coastal vegetation,465.9492,LC,PP,Coastal Terrestrial,0,T
AT40,Hartenbos Dune Thicket,Coastal vegetation,463.16,EN,PP,Coastal Terrestrial,1,T
AT41,Kasouga Dune Thicket,Coastal vegetation,207.8656,LC,MP,Coastal Terrestrial,0,T
AT44,Motherwell Karroid Thicket,Semi-coastal vegetation,63.2552,CR,NP,Coastal Terrestrial,1,T
AT48,Sardinia Forest Thicket,Semi-coastal vegetation,11.6912,CR,NP,Coastal Terrestrial,1,T
AT57,St Francis Dune Thicket,Coastal vegetation,105.5096,EN,PP,Coastal Terrestrial,1,T
AT53,Umtiza Forest Thicket,Semi-coastal vegetation,16.5496,CR,WP,Coastal Terrestrial,1,T
Dn1,Alexander Bay Coastal Duneveld,Coastal vegetation,1.3532,CR,NP,Coastal Terrestrial,1,T
Dn2,Namib Lichen Fields,Semi-coastal vegetation,1.01,CR,WP,Coastal Terrestrial,1,T
Dn3,Western Gariep Plains Desert,Coastal vegetation,122.5984,LC,PP,Coastal Terrestrial,0,T
FOa3,Mangrove Forest,Coastal vegetation,37.4,EN,WP,Coastal Terrestrial,1,T
FOz7,Northern Coastal Forest,Coastal vegetation,514.9484,LC,WP,Coastal Terrestrial,0,T
