mapcode,type,zone,extent,RLE,EPL,realm
AT34,Gamka Valley Thicket,Non-coastal,161.674,LC,NP,ter
AT50,Sundays Mesic Thicket,Non-coastal,515.4424,LC,WP,ter
AT51,Sundays Valley Thicket,Non-coastal,1693.7084,LC,MP,ter
AT54,Vanstadens Forest Thicket,Non-coastal,184.8992,LC,WP,ter
AT19,Baviaans Valley Thicket,Non-coastal,1061.8264,LC,WP,ter
AT25,Eastern Gwarrieveld,Non-coastal,2109.2204,LC,MP,ter
AT27,Escarpment Arid Thicket,Non-coastal,1230.8536,LC,WP,ter
AT29,Escarpment Valley Thicket,Non-coastal,768.056,LC,WP,ter
AT33,Gamka Arid Thicket,Non-coastal,484.0704,LC,PP,ter
AT43,Mons Ruber Fynbos Thicket,Non-coastal,265.86,LC,NP,ter
AT46,Oudtshoorn Karroid Thicket,Non-coastal,552.0688,LC,WP,ter
AT49,Sundays Arid Thicket,Non-coastal,5524.0148,VU,MP,ter
AT55,Western Gwarrieveld,Non-coastal,741.59760000000006,LC,PP,ter
AT58,Willowmore Gwarrieveld,Non-coastal,2221.2952,LC,NP,ter
AZa6,Albany Alluvial Vegetation,Non-coastal,286.0296,EN,PP,ter
AZa2,Cape Lowland Alluvial Vegetation,Non-coastal,116.1724,EN,NP,ter
AZi1,Namaqualand Riviere,Non-coastal,1200.1276,LC,PP,ter
AZa1,Fynbos Riparian Vegetation,Non-coastal,18.1868,LC,WP,ter
AZi5,Bushmanland Vloere,Non-coastal,4815.0392,LC,PP,ter
AZi6,Southern Karoo Riviere,Non-coastal,4534.9768,LC,PP,ter
AZi7,Tanqua Wash Riviere,Non-coastal,1983.6596,LC,MP,ter
AZi8,Muscadel Riviere,Non-coastal,143.7668,EN,NP,ter
FFs19,South Outeniqua Sandstone Fynbos,Non-coastal,1047.7296,LC,WP,ter
FFt2,Loerie Conglomerate Fynbos,Non-coastal,181.5708,LC,PP,ter
FFd2,Leipoldtville Sand Fynbos,Non-coastal,756.9556,EN,NP,ter
FFb4,Central Coastal Shale Band Vegetation,Non-coastal,54.0568,LC,WP,ter
FFs15,North Langeberg Sandstone Fynbos,Non-coastal,906.3568,LC,WP,ter
FFb2,Western Coastal Shale Band Vegetation,Non-coastal,128.2068,EN,WP,ter
FFg2,Boland Granite Fynbos,Non-coastal,279.5672,EN,MP,ter
FRg2,Swartland Granite Renosterveld,Non-coastal,153.8836,EN,NP,ter
FRc2,Ruens Silcrete Renosterveld,Non-coastal,28.494,EN,NP,ter
FRs12,Central Ruens Shale Renosterveld,Non-coastal,195.7052,CR,NP,ter
FRs13,Eastern Ruens Shale Renosterveld,Non-coastal,397.7656,EN,NP,ter
FFs27,Kouga Sandstone Fynbos,Non-coastal,2155.9756,LC,WP,ter
FFs28,Kouga Grassy Sandstone Fynbos,Non-coastal,3696.5036,LC,WP,ter
FFs2,Graafwater Sandstone Fynbos,Non-coastal,937.778,LC,PP,ter
FFh6,Elgin Shale Fynbos,Non-coastal,67.108,CR,PP,ter
FRc1,Swartland Silcrete Renosterveld,Non-coastal,12.802,CR,NP,ter
FRs9,Swartland Shale Renosterveld,Non-coastal,486.2376,CR,NP,ter
FRa1,Breede Alluvium Renosterveld,Non-coastal,174.4068,EN,NP,ter
FRg3,Robertson Granite Renosterveld,Non-coastal,18.8332,LC,MP,ter
FRs11,Western Ruens Shale Renosterveld,Non-coastal,153.0492,CR,NP,ter
FRs8,Breede Shale Renosterveld,Non-coastal,616.4812,EN,PP,ter
FFb5,Eastern Inland Shale Band Vegetation,Non-coastal,95.8256,LC,WP,ter
FFh10,Suurberg Shale Fynbos,Non-coastal,277.9484,LC,WP,ter
FFq5,Grootrivier Quartzite Fynbos,Non-coastal,388.316,LC,NP,ter
FFq6,Suurberg Quartzite Fynbos,Non-coastal,668.574,LC,MP,ter
FFs18,North Outeniqua Sandstone Fynbos,Non-coastal,732.3164,LC,PP,ter
FRs16,Uniondale Shale Renosterveld,Non-coastal,1104.1168,LC,PP,ter
FRs17,Langkloof Shale Renosterveld,Non-coastal,64.1688,EN,NP,ter
FRs18,Baviaanskloof Shale Renosterveld,Non-coastal,118.6764,LC,WP,ter
FRs20,Citrusdal Shale Renosterveld,Non-coastal,11.4372,CR,NP,ter
FRd1,Nieuwoudtville-Roggeveld Dolerite Renosterveld,Non-coastal,197.2376,LC,PP,ter
FRd2,Hantam Plateau Dolerite Renosterveld,Non-coastal,565.3256,LC,NP,ter
FRs1,Vanrhynsdorp Shale Renosterveld,Non-coastal,196.0464,LC,PP,ter
FRs2,Nieuwoudtville Shale Renosterveld,Non-coastal,104.3384,CR,NP,ter
FRs3,Roggeveld Shale Renosterveld,Non-coastal,3148.2664,LC,PP,ter
FRs5,Central Mountain Shale Renosterveld,Non-coastal,1199.1376,LC,NP,ter
FFg1,Kamiesberg Granite Fynbos,Non-coastal,64.0224,LC,NP,ter
FRg1,Namaqualand Granite Renosterveld,Non-coastal,252.788,LC,NP,ter
FFa1,Kouebokkeveld Alluvium Fynbos,Non-coastal,52.9628,CR,PP,ter
FFb1,Northern Inland Shale Band Vegetation,Non-coastal,258.2252,LC,WP,ter
FFh1,Kouebokkeveld Shale Fynbos,Non-coastal,198.7996,CR,MP,ter
FFq2,Swartruggens Quartzite Fynbos,Non-coastal,1617.4104,LC,MP,ter
FFs1,Bokkeveld Sandstone Fynbos,Non-coastal,800.52,LC,PP,ter
FFs3,Olifants Sandstone Fynbos,Non-coastal,469.3428,LC,WP,ter
FFs30,Western Altimontane Sandstone Fynbos,Non-coastal,37.4804,LC,WP,ter
FFs4,Cederberg Sandstone Fynbos,Non-coastal,2232.7588,LC,WP,ter
