Member name,Institution
Andrew Skowno,SANBI
Carol Poole,SANBI
Farai Tererai,SANBI
Sharndre Heuvel,SANBI
Zimkita Mavumengwana,SANBI
Ntakadzeni Tshidada ,SANBI
Fulufhelo Mukhadi ,SANBI
Pearl (Nontutuzelo) Gola,SANBI
Hulisani Magada,SANBI
Tammy Smith,SANBI
Ntando Mkhize,SANBI
Fhatani Ranwashe,SANBI
Brenda Daly,SANBI
Tsamaelo Malebu,SANBI
Mthobisi Nzimande ,SANBI
Kedibone Ndlovu,SANBI
Lize von Staden,SANBI
Graham Von Maltitz,SANBI
Colleen Seymour,SANBI
Linda Harris,Institute for Coastal and Marine Research at Nelson Mandela University
Stephni van der Merwe,SANBI and University of Cape Town
Janine Adams,Institute for Coastal and Marine Research at Nelson Mandela University
Fiona MacKay,Oceanographic Research Institute
Lara van Niekerk,Council for Scientific & Industrial Research 
Nacelle Collins,"Free State Economic, Small Business Development, Tourism & Environmental Affairs"
Nancy Job,SANBI
Jessica da Silva,SANBI
Sediqa Khatieb,SANBI
Shae-Lynn Hendricks,SANBI
Tsungai Zengeya,SANBI
Megan van der Bank,SANBI
Natasha Besseling,SANBI
Jock Currie,SANBI
Prideel Majiedt,SANBI
Kerry Sink,SANBI
Loyiso Dunga,Parley for the Oceans and SANBI
Dewidine van der Colff,SANBI
Domitilla Claudia Raimondo,SANBI
Hlengiwe Mtshali,SANBI
Mahlatse Kgatla,SANBI
Mudzuli Mavhunga,SANBI
Kim Labuschagne,SANBI
Anisha Dayaram,SANBI
Maphale Monyeki,SANBI
