"zone","Natural","Near-natural","Moderately modified","Heavily modified","Severely / critically modified ","metric"
"Cool Temperate",2,8,4,11,8,"count"
"Subtropical",9,50,44,15,13,"count"
"Tropical",0,2,0,0,0,"count"
"Warm Temperate",20,64,23,12,5,"count"
"Cool Temperate",10.35280734976,118.843957663987,327.298866677,505.90052994656,292.79653497078,"extent"
"Subtropical",184.3551329814,2083.9295045853,1909.1342457377,2315.460367465,2106.6398125153,"extent"
"Tropical",0,163.3258954488,0,0,0,"extent"
"Warm Temperate",995.21662513975,3876.97520667387,2199.51804524025,1228.6972802239,133.6705520189,"extent"
"Cool Temperate",0.824798246335916,9.46818428637607,26.0755872434138,40.3046107034926,23.3268195203816,"perc"
"Subtropical",2.14378422356777,24.2330936096479,22.2004769300259,26.9254635105208,24.4971817262376,"perc"
"Tropical",0,100,0,0,0,"perc"
"Warm Temperate",11.7999461167253,45.967980617494,26.0789397614368,14.5682470872842,1.58488641705967,"perc"
