"","EST_IDw","OUTLET_IDw","NAME","LONGdd","LATdd","EcoType_na","RLE_NBA18","PL_NBA18","PES2018","type","zone","extent","RLE","EPL","RLE_EPL","realm","protection_level","threat_status","est_name","full_ecosystem_type_name","efz_ha","2025_est_condition","2018_est_condition","2011_est_condition","condition","condition_100km_zones"
"1",1,1,"Orange",16.45780397,-28.63574397,"Cool Temperate Large Fluvially Dominated","Endangered","Not Protected","D","Cool Temperate Large Fluvially Dominated","CTemp",30.190584603,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Orange","1 Cool Temperate - Large Fluvially Dominated",3019.1,49.575,51.5125,55.85,"Heavily modified",49.575
"2",2,4,"Buffels",17.05062778,-29.67726944,"Cool Temperate Arid Predominantly Closed","Endangered","Moderately","D","Cool Temperate Arid Predominantly Closed","CTemp",14.4021165679,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Buffels","1 Cool Temperate - Arid Predominantly Closed",87.6,43.81875,43.81875,66.475,"Heavily modified",43.81875
"3",3,5,"Swartlintjies",17.25922778,-30.26319167,"Cool Temperate Arid Predominantly Closed","Endangered","Moderately","B","Cool Temperate Arid Predominantly Closed","CTemp",14.4021165679,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Swartlintjies","1 Cool Temperate - Arid Predominantly Closed",134.3,77.55,78.55,79,"Near-natural",81.3685368014769
"4",4,6,"Spoeg",17.35873,-30.47269194,"Cool Temperate Arid Predominantly Closed","Endangered","Moderately","A/B","Cool Temperate Arid Predominantly Closed","CTemp",14.4021165679,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Spoeg","1 Cool Temperate - Arid Predominantly Closed",88.2,87.2,88.7,82.925,"Near-natural",81.3685368014769
"5",5,8,"Groen",17.576563,-30.84679778,"Cool Temperate Arid Predominantly Closed","Endangered","Moderately","B","Cool Temperate Arid Predominantly Closed","CTemp",14.4021165679,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Groen","1 Cool Temperate - Arid Predominantly Closed",88.2,79.54375,79.54375,81.275,"Near-natural",38.3547180760319
"6",6,10,"Sout (Noord)",17.84841197,-31.24477972,"Cool Temperate Arid Predominantly Closed","Endangered","Moderately","E","Cool Temperate Arid Predominantly Closed","CTemp",14.4021165679,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Sout (Noord)","1 Cool Temperate - Arid Predominantly Closed",532.8,31.53125,31.53125,50.1,"Severely / critically modified ",38.3547180760319
"7",7,12,"Olifants",18.18711897,-31.70104397,"Cool Temperate Predominantly Open","Endangered","Not Protected","C","Cool Temperate Predominantly Open","CTemp",152.598212237,"EN","NP","EN_NP","est","Not Protected","Endangered","Olifants","1 Cool Temperate - Predominantly Open",2778.6,68.425,69.925,69.925,"Moderately modified",68.0584365342045
"8",8,14,"Jakkals",18.313416,-32.084641,"Cool Temperate Large Temporarily Closed","Critically Endangered","Poorly","D","Cool Temperate Large Temporarily Closed","CTemp",32.839120096,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Jakkals","1 Cool Temperate - Large Temporarily Closed",72.6,54.025,49.7543614595211,52.45,"Heavily modified",68.0584365342045
"9",9,15,"Wadrift",18.32526997,-32.20458583,"Cool Temperate Arid Predominantly Closed","Endangered","Moderately","E","Cool Temperate Arid Predominantly Closed","CTemp",14.4021165679,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Wadrift","1 Cool Temperate - Arid Predominantly Closed",509,47.825,36.5739589619795,33.95,"Heavily modified",49.6248310262296
"10",10,16,"Verlorenvlei",18.33317397,-32.31592194,"Cool Temperate Estuarine Lake","Endangered","Poorly","D","Cool Temperate Estuarine Lake","CTemp",70.930767172,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Verlorenvlei","1 Cool Temperate - Estuarine Lake",2276.3,37.3125,50.3256488842065,54.25,"Severely / critically modified ",49.6248310262296
"11",11,18,"Groot Berg",18.143885,-32.76974889,"Cool Temperate Predominantly Open","Endangered","Not Protected","C","Cool Temperate Predominantly Open","CTemp",152.598212237,"EN","NP","EN_NP","est","Not Protected","Endangered","Groot Berg","1 Cool Temperate - Predominantly Open",11733.5,54.0725,63.925,58.9,"Heavily modified",49.6248310262296
"12",12,22,"Langebaan",18.02193611,-33.09732222,"Cool Temperate Estuarine Lagoon","Vulnerable","Moderately","B","Cool Temperate Estuarine Lagoon","CTemp",60.0688314212,"EN","MP","EN_MP","est","Moderately Protected","Endangered","Langebaan","1 Cool Temperate - Estuarine Lagoon",6006.9,84.125,84.625,85,"Near-natural",84.125
"13",13,34,"Diep/Rietvlei",18.482143,-33.88990389,"Cool Temperate Large Temporarily Closed","Critically Endangered","Poorly","D","Cool Temperate Large Temporarily Closed","CTemp",32.839120096,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Diep/Rietvlei","1 Cool Temperate - Large Temporarily Closed",1250,44.775,45.275,32.35,"Heavily modified",35.4588779415903
"14",14,35,"Sout (Wes)",18.47158597,-33.90803472,"Cool Temperate Large Temporarily Closed","Critically Endangered","Poorly","F","Cool Temperate Large Temporarily Closed","CTemp",32.839120096,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Sout (Wes)","1 Cool Temperate - Large Temporarily Closed",613.7,16.4831522437958,16.4831522437958,9.025,"Severely / critically modified ",35.4588779415903
"15",15,36,"Disa",18.3545,-34.04639097,"Cool Temperate Large Temporarily Closed","Critically Endangered","Poorly","E","Cool Temperate Large Temporarily Closed","CTemp",32.839120096,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Disa","1 Cool Temperate - Large Temporarily Closed",23.5,30.0719968387777,30.0719968387777,32.05,"Severely / critically modified ",49.5784530387995
"16",16,38,"Wildevoëlvlei",18.343287,-34.127411,"Cool Temperate Large Temporarily Closed","Critically Endangered","Poorly","D/E","Cool Temperate Large Temporarily Closed","CTemp",32.839120096,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Wildevoëlvlei","1 Cool Temperate - Large Temporarily Closed",604.8,41.8,41.8,45.525,"Heavily modified",49.5784530387995
"17",17,40,"Schuster",18.37090697,-34.20204497,"Cool Temperate Small Temporarily Closed","Endangered","Well","B","Cool Temperate Small Temporarily Closed","CTemp",5.17640367488,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Schuster","1 Cool Temperate - Small Temporarily Closed",22.6,85.2126388317565,86.2126388317565,91.125,"Near-natural",49.5784530387995
"18",18,41,"Krom",18.378401,-34.23094194,"Cool Temperate Small Temporarily Closed","Endangered","Well","A/B","Cool Temperate Small Temporarily Closed","CTemp",5.17640367488,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Krom","1 Cool Temperate - Small Temporarily Closed",100.5,90.9109755342589,92.4109755342589,93.8,"Natural",49.5784530387995
"19",19,46,"Silwermyn",18.43892297,-34.13276297,"Cool Temperate Large Temporarily Closed","Critically Endangered","Poorly","E","Cool Temperate Large Temporarily Closed","CTemp",32.839120096,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Silwermyn","1 Cool Temperate - Large Temporarily Closed",15.8,37.8899307405434,37.8899307405434,45.95,"Severely / critically modified ",40.704376471755
"20",20,47,"Zand",18.4765,-34.10638397,"Cool Temperate Large Temporarily Closed","Critically Endangered","Poorly","D","Cool Temperate Large Temporarily Closed","CTemp",32.839120096,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Zand","1 Cool Temperate - Large Temporarily Closed",381.8,44.4,44.4,46.6,"Heavily modified",40.704376471755
"21",21,48,"Zeekoei",18.50493397,-34.09841897,"Cool Temperate Estuarine Lake","Endangered","Poorly","E","Cool Temperate Estuarine Lake","CTemp",70.930767172,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Zeekoei","1 Cool Temperate - Estuarine Lake",405.5,24,24,29.1,"Severely / critically modified ",40.704376471755
"22",22,49,"Eerste",18.753723,-34.07882697,"Cool Temperate Large Temporarily Closed","Critically Endangered","Poorly","E","Cool Temperate Large Temporarily Closed","CTemp",32.839120096,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Eerste","1 Cool Temperate - Large Temporarily Closed",277.4,33.075,33.075,32.575,"Severely / critically modified ",40.704376471755
"23",23,50,"Lourens",18.81084297,-34.100052,"Cool Temperate Small Temporarily Closed","Endangered","Well","D","Cool Temperate Small Temporarily Closed","CTemp",5.17640367488,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Lourens","1 Cool Temperate - Small Temporarily Closed",266.5,51.05,50.975,64.15,"Heavily modified",40.704376471755
"24",24,52,"Sir Lowry’s Pass",18.864895,-34.15556,"Cool Temperate Small Temporarily Closed","Endangered","Well","E","Cool Temperate Small Temporarily Closed","CTemp",5.17640367488,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Sir Lowry’s Pass","1 Cool Temperate - Small Temporarily Closed",4.1,37.85,37.85,35.65,"Severely / critically modified ",40.704376471755
