"NAME","type","zone","protection_level","threat_status","condition","efz_ha"
"Orange","Cool Temperate Large Fluvially Dominated","Cool Temperate","Poorly Protected","Endangered","Heavily modified",3019.1
"Buffels","Cool Temperate Arid Predominantly Closed","Cool Temperate","Poorly Protected","Endangered","Heavily modified",87.6
"Swartlintjies","Cool Temperate Arid Predominantly Closed","Cool Temperate","Poorly Protected","Endangered","Near-natural",134.3
"Spoeg","Cool Temperate Arid Predominantly Closed","Cool Temperate","Poorly Protected","Endangered","Near-natural",88.2
"Groen","Cool Temperate Arid Predominantly Closed","Cool Temperate","Poorly Protected","Endangered","Near-natural",88.2
"Sout (Noord)","Cool Temperate Arid Predominantly Closed","Cool Temperate","Poorly Protected","Endangered","Severely / critically modified ",532.8
"Olifants","Cool Temperate Predominantly Open","Cool Temperate","Not Protected","Endangered","Moderately modified",2778.6
"Jakkals","Cool Temperate Large Temporarily Closed","Cool Temperate","Poorly Protected","Endangered","Heavily modified",72.6
"Wadrift","Cool Temperate Arid Predominantly Closed","Cool Temperate","Poorly Protected","Endangered","Heavily modified",509
"Verlorenvlei","Cool Temperate Estuarine Lake","Cool Temperate","Poorly Protected","Endangered","Severely / critically modified ",2276.3
"Groot Berg","Cool Temperate Predominantly Open","Cool Temperate","Not Protected","Endangered","Heavily modified",11733.5
"Langebaan","Cool Temperate Estuarine Lagoon","Cool Temperate","Moderately Protected","Endangered","Near-natural",6006.9
"Diep/Rietvlei","Cool Temperate Large Temporarily Closed","Cool Temperate","Poorly Protected","Endangered","Heavily modified",1250
"Sout (Wes)","Cool Temperate Large Temporarily Closed","Cool Temperate","Poorly Protected","Endangered","Severely / critically modified ",613.7
"Disa","Cool Temperate Large Temporarily Closed","Cool Temperate","Poorly Protected","Endangered","Severely / critically modified ",23.5
"Wildevoëlvlei","Cool Temperate Large Temporarily Closed","Cool Temperate","Poorly Protected","Endangered","Heavily modified",604.8
"Schuster","Cool Temperate Small Temporarily Closed","Cool Temperate","Moderately Protected","Vulnerable","Near-natural",22.6
"Krom","Cool Temperate Small Temporarily Closed","Cool Temperate","Moderately Protected","Vulnerable","Natural",100.5
"Silwermyn","Cool Temperate Large Temporarily Closed","Cool Temperate","Poorly Protected","Endangered","Severely / critically modified ",15.8
"Zand","Cool Temperate Large Temporarily Closed","Cool Temperate","Poorly Protected","Endangered","Heavily modified",381.8
"Zeekoei","Cool Temperate Estuarine Lake","Cool Temperate","Poorly Protected","Endangered","Severely / critically modified ",405.5
"Eerste","Cool Temperate Large Temporarily Closed","Cool Temperate","Poorly Protected","Endangered","Severely / critically modified ",277.4
"Lourens","Cool Temperate Small Temporarily Closed","Cool Temperate","Moderately Protected","Vulnerable","Heavily modified",266.5
"Sir Lowry’s Pass","Cool Temperate Small Temporarily Closed","Cool Temperate","Moderately Protected","Vulnerable","Severely / critically modified ",4.1
