estID,est_name,full_ecosystem_type_name,efz_ha,Cumulative Pressure Level,pressure_2025_flow_modification,pressure_artificial_breaching,pressure_2018_Flow_modification,pressure_2025_pollution,pressure_2018_Pollution,pressure_2025_habitat_loss,pressure_2025_fishing_effort_DEFF,pressure_2018_fishing_effort_DEFF,pressure_2011_fishing_effort_DEFF,pressure_invasive_alien_plants,Pressure_alien_fish,OUTLET_IDw,NAME,LONGdd,LATdd,EcoType_na,RLE_NBA18,PL_NBA18,PES2018,type,zone,extent,RLE,EPL,RLE_EPL,realm,protection_level,threat_status
1,Orange,1 Cool Temperate - Large Fluvially Dominated,3019.1,High,Very high,Medium,Very high,High,High,High,Low,Low,Low,Medium,Medium,1,Orange,16.45780397,-28.63574397,Cool Temperate Large Fluvially Dominated,Endangered,Not Protected,D,Cool Temperate Large Fluvially Dominated,CTemp,30.190584603,EN,PP,EN_PP,est,Poorly Protected,Endangered
2,Buffels,1 Cool Temperate - Arid Predominantly Closed,87.6,High,High,High,Very high,Very high,Very high,Very high,Low,Low,Low,High,,4,Buffels,17.05062778,-29.67726944,Cool Temperate Arid Predominantly Closed,Endangered,Moderately,D,Cool Temperate Arid Predominantly Closed,CTemp,14.4021165679,EN,PP,EN_PP,est,Poorly Protected,Endangered
3,Swartlintjies,1 Cool Temperate - Arid Predominantly Closed,134.3,Low,Low,,Low,Low,Low,Medium,,,,,,5,Swartlintjies,17.25922778,-30.26319167,Cool Temperate Arid Predominantly Closed,Endangered,Moderately,B,Cool Temperate Arid Predominantly Closed,CTemp,14.4021165679,EN,PP,EN_PP,est,Poorly Protected,Endangered
4,Spoeg,1 Cool Temperate - Arid Predominantly Closed,88.2,Low,Medium,,Medium,Low,Low,Low,,,,,,6,Spoeg,17.35873,-30.47269194,Cool Temperate Arid Predominantly Closed,Endangered,Moderately,A/B,Cool Temperate Arid Predominantly Closed,CTemp,14.4021165679,EN,PP,EN_PP,est,Poorly Protected,Endangered
5,Groen,1 Cool Temperate - Arid Predominantly Closed,88.2,Low,Medium,,Medium,Low,Low,Low,,,,Low,,8,Groen,17.576563,-30.84679778,Cool Temperate Arid Predominantly Closed,Endangered,Moderately,B,Cool Temperate Arid Predominantly Closed,CTemp,14.4021165679,EN,PP,EN_PP,est,Poorly Protected,Endangered
6,Sout (Noord),1 Cool Temperate - Arid Predominantly Closed,532.8,Very high,High,,Very high,Low,Low,Very high,,,,,,10,Sout (Noord),17.84841197,-31.24477972,Cool Temperate Arid Predominantly Closed,Endangered,Moderately,E,Cool Temperate Arid Predominantly Closed,CTemp,14.4021165679,EN,PP,EN_PP,est,Poorly Protected,Endangered
7,Olifants,1 Cool Temperate - Predominantly Open,2778.6,Medium,Medium,,Medium,High,High,High,Very high,Very high,Very high,High,Very high,12,Olifants,18.18711897,-31.70104397,Cool Temperate Predominantly Open,Endangered,Not Protected,C,Cool Temperate Predominantly Open,CTemp,152.598212237,EN,NP,EN_NP,est,Not Protected,Endangered
8,Jakkals,1 Cool Temperate - Large Temporarily Closed,72.6,High,High,,Very high,High,High,Medium,High,Low,Low,,,14,Jakkals,18.313416,-32.084641,Cool Temperate Large Temporarily Closed,Critically Endangered,Poorly,D,Cool Temperate Large Temporarily Closed,CTemp,32.839120096,EN,PP,EN_PP,est,Poorly Protected,Endangered
9,Wadrift,1 Cool Temperate - Arid Predominantly Closed,509,High,High,,Very high,High,High,High,Low,Low,Low,,,15,Wadrift,18.32526997,-32.20458583,Cool Temperate Arid Predominantly Closed,Endangered,Moderately,E,Cool Temperate Arid Predominantly Closed,CTemp,14.4021165679,EN,PP,EN_PP,est,Poorly Protected,Endangered
10,Verlorenvlei,1 Cool Temperate - Estuarine Lake,2276.3,Very high,High,Medium,Very high,Very high,Very high,High,Medium,Medium,Medium,,High,16,Verlorenvlei,18.33317397,-32.31592194,Cool Temperate Estuarine Lake,Endangered,Poorly,D,Cool Temperate Estuarine Lake,CTemp,70.930767172,EN,PP,EN_PP,est,Poorly Protected,Endangered
11,Groot Berg,1 Cool Temperate - Predominantly Open,11733.5,High,Very high,Low,Medium,Very high,Very high,High,Very high,Very high,Very high,Medium,Very high,18,Groot Berg,18.143885,-32.76974889,Cool Temperate Predominantly Open,Endangered,Not Protected,C,Cool Temperate Predominantly Open,CTemp,152.598212237,EN,NP,EN_NP,est,Not Protected,Endangered
12,Langebaan,1 Cool Temperate - Estuarine Lagoon,6006.9,Low,Low,,Low,Low,Low,Low,Very high,Very high,High,,,22,Langebaan,18.02193611,-33.09732222,Cool Temperate Estuarine Lagoon,Vulnerable,Moderately,B,Cool Temperate Estuarine Lagoon,CTemp,60.0688314212,EN,MP,EN_MP,est,Moderately Protected,Endangered
13,Diep/Rietvlei,1 Cool Temperate - Large Temporarily Closed,1250,High,Medium,Low,Medium,Very high,Very high,Very high,Medium,Low,Low,Medium,High,34,Diep/Rietvlei,18.482143,-33.88990389,Cool Temperate Large Temporarily Closed,Critically Endangered,Poorly,D,Cool Temperate Large Temporarily Closed,CTemp,32.839120096,EN,PP,EN_PP,est,Poorly Protected,Endangered
14,Sout (Wes),1 Cool Temperate - Large Temporarily Closed,613.7,Very high,Very high,,Very high,Very high,Very high,Very high,Low,Low,Low,,,35,Sout (Wes),18.47158597,-33.90803472,Cool Temperate Large Temporarily Closed,Critically Endangered,Poorly,F,Cool Temperate Large Temporarily Closed,CTemp,32.839120096,EN,PP,EN_PP,est,Poorly Protected,Endangered
15,Disa,1 Cool Temperate - Large Temporarily Closed,23.5,Very high,Very high,,Very high,Very high,Very high,High,Low,Low,Low,Medium,High,36,Disa,18.3545,-34.04639097,Cool Temperate Large Temporarily Closed,Critically Endangered,Poorly,E,Cool Temperate Large Temporarily Closed,CTemp,32.839120096,EN,PP,EN_PP,est,Poorly Protected,Endangered
16,Wildevoëlvlei,1 Cool Temperate - Large Temporarily Closed,604.8,High,Medium,,Medium,Very high,Very high,High,Low,Low,Low,High,Low,38,Wildevoëlvlei,18.343287,-34.127411,Cool Temperate Large Temporarily Closed,Critically Endangered,Poorly,D/E,Cool Temperate Large Temporarily Closed,CTemp,32.839120096,EN,PP,EN_PP,est,Poorly Protected,Endangered
17,Schuster,1 Cool Temperate - Small Temporarily Closed,22.6,Low,Medium,,Medium,Low,Low,Low,Low,Low,Low,,,40,Schuster,18.37090697,-34.20204497,Cool Temperate Small Temporarily Closed,Endangered,Well,B,Cool Temperate Small Temporarily Closed,CTemp,5.17640367488,VU,MP,VU_MP,est,Moderately Protected,Vulnerable
18,Krom,1 Cool Temperate - Small Temporarily Closed,100.5,Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,41,Krom,18.378401,-34.23094194,Cool Temperate Small Temporarily Closed,Endangered,Well,A/B,Cool Temperate Small Temporarily Closed,CTemp,5.17640367488,VU,MP,VU_MP,est,Moderately Protected,Vulnerable
19,Silwermyn,1 Cool Temperate - Large Temporarily Closed,15.8,Very high,High,Very high,High,High,High,High,Low,Low,Low,,High,46,Silwermyn,18.43892297,-34.13276297,Cool Temperate Large Temporarily Closed,Critically Endangered,Poorly,E,Cool Temperate Large Temporarily Closed,CTemp,32.839120096,EN,PP,EN_PP,est,Poorly Protected,Endangered
20,Zand,1 Cool Temperate - Large Temporarily Closed,381.8,High,Low,Very high,Low,Very high,Very high,Very high,Medium,Medium,Medium,Medium,Very high,47,Zand,18.4765,-34.10638397,Cool Temperate Large Temporarily Closed,Critically Endangered,Poorly,D,Cool Temperate Large Temporarily Closed,CTemp,32.839120096,EN,PP,EN_PP,est,Poorly Protected,Endangered
