"","Estuary name","Estuary type","Estuary functional type","Protection level","Threat status","Condition","Extent (ha)"
"1","Orange","Cool Temperate Large Fluvially Dominated","Cool Temperate","Poorly Protected","Endangered","Heavily modified",3019.1
"2","Buffels","Cool Temperate Arid Predominantly Closed","Cool Temperate","Poorly Protected","Endangered","Heavily modified",87.6
"3","Swartlintjies","Cool Temperate Arid Predominantly Closed","Cool Temperate","Poorly Protected","Endangered","Near-natural",134.3
"4","Spoeg","Cool Temperate Arid Predominantly Closed","Cool Temperate","Poorly Protected","Endangered","Near-natural",88.2
"5","Groen","Cool Temperate Arid Predominantly Closed","Cool Temperate","Poorly Protected","Endangered","Near-natural",88.2
"6","Sout (Noord)","Cool Temperate Arid Predominantly Closed","Cool Temperate","Poorly Protected","Endangered","Severely / critically modified ",532.8
"7","Olifants","Cool Temperate Predominantly Open","Cool Temperate","Not Protected","Endangered","Moderately modified",2778.6
"8","Jakkals","Cool Temperate Large Temporarily Closed","Cool Temperate","Poorly Protected","Endangered","Heavily modified",72.6
"9","Wadrift","Cool Temperate Arid Predominantly Closed","Cool Temperate","Poorly Protected","Endangered","Heavily modified",509
"10","Verlorenvlei","Cool Temperate Estuarine Lake","Cool Temperate","Poorly Protected","Endangered","Severely / critically modified ",2276.3
"11","Groot Berg","Cool Temperate Predominantly Open","Cool Temperate","Not Protected","Endangered","Heavily modified",11733.5
"12","Langebaan","Cool Temperate Estuarine Lagoon","Cool Temperate","Moderately Protected","Endangered","Near-natural",6006.9
"13","Diep/Rietvlei","Cool Temperate Large Temporarily Closed","Cool Temperate","Poorly Protected","Endangered","Heavily modified",1250
"14","Sout (Wes)","Cool Temperate Large Temporarily Closed","Cool Temperate","Poorly Protected","Endangered","Severely / critically modified ",613.7
"15","Disa","Cool Temperate Large Temporarily Closed","Cool Temperate","Poorly Protected","Endangered","Severely / critically modified ",23.5
"16","Wildevoëlvlei","Cool Temperate Large Temporarily Closed","Cool Temperate","Poorly Protected","Endangered","Heavily modified",604.8
"17","Schuster","Cool Temperate Small Temporarily Closed","Cool Temperate","Moderately Protected","Vulnerable","Near-natural",22.6
"18","Krom","Cool Temperate Small Temporarily Closed","Cool Temperate","Moderately Protected","Vulnerable","Natural",100.5
"19","Silwermyn","Cool Temperate Large Temporarily Closed","Cool Temperate","Poorly Protected","Endangered","Severely / critically modified ",15.8
"20","Zand","Cool Temperate Large Temporarily Closed","Cool Temperate","Poorly Protected","Endangered","Heavily modified",381.8
"21","Zeekoei","Cool Temperate Estuarine Lake","Cool Temperate","Poorly Protected","Endangered","Severely / critically modified ",405.5
"22","Eerste","Cool Temperate Large Temporarily Closed","Cool Temperate","Poorly Protected","Endangered","Severely / critically modified ",277.4
"23","Lourens","Cool Temperate Small Temporarily Closed","Cool Temperate","Moderately Protected","Vulnerable","Heavily modified",266.5
"24","Sir Lowry’s Pass","Cool Temperate Small Temporarily Closed","Cool Temperate","Moderately Protected","Vulnerable","Severely / critically modified ",4.1
"25","Steenbras","Cool Temperate Small Fluvially Dominated","Cool Temperate","Well Protected","Vulnerable","Near-natural",4
"26","Rooiels","Cool Temperate Small Temporarily Closed","Cool Temperate","Moderately Protected","Vulnerable","Natural",21.6
"27","Buffels (Oos)","Cool Temperate Small Temporarily Closed","Cool Temperate","Moderately Protected","Vulnerable","Near-natural",35.8
"28","Palmiet","Cool Temperate Large Temporarily Closed","Cool Temperate","Poorly Protected","Endangered","Moderately modified",44.2
"29","Bot/Kleinmond","Cool Temperate Estuarine Lake","Cool Temperate","Poorly Protected","Endangered","Moderately modified",2345.9
"30","Onrus","Cool Temperate Small Temporarily Closed","Cool Temperate","Moderately Protected","Vulnerable","Heavily modified",30.8
"31","Klein","Cool Temperate Estuarine Lake","Cool Temperate","Poorly Protected","Endangered","Moderately modified",2065.5
"32","Uilkraals","Cool Temperate Predominantly Open","Cool Temperate","Not Protected","Endangered","Heavily modified",747.7
"33","Ratel","Cool Temperate Small Temporarily Closed","Cool Temperate","Moderately Protected","Vulnerable","Near-natural",35.9
"34","Heuningnes","Warm Temperate Estuarine Lake","Warm Temperate","Moderately Protected","Endangered","Heavily modified",10993.7
"35","Klipdrifsfontein","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Natural",6.7
"36","Breede","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",2257.6
"37","Duiwenhoks","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",441.4
"38","Goukou","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",438.7
"39","Gouritz","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",1099.7
"40","Blinde","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Moderately modified",19.9
"41","Tweekuilen","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Severely / critically modified ",23.2
"42","Gericke","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Severely / critically modified ",8.7
"43","Hartenbos","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Heavily modified",306.1
"44","Klein Brak","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Heavily modified",1021.7
"45","Groot Brak","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Heavily modified",318.1
"46","Maalgate","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",34.4
"47","Gwaing","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Moderately modified",21.8
"48","Kaaimans","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",40.6
"49","Touw/Wilderness","Warm Temperate Estuarine Lake","Warm Temperate","Moderately Protected","Endangered","Moderately modified",1180.4
"50","Swartvlei","Warm Temperate Estuarine Lake","Warm Temperate","Moderately Protected","Endangered","Near-natural",2168.2
"51","Goukamma","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",299.2
"52","Knysna","Warm Temperate Estuarine Bay","Warm Temperate","Moderately Protected","Vulnerable","Near-natural",3010.6
"53","Noetsie","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",50.6
"54","Piesang","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Heavily modified",87.3
"55","Keurbooms","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",1623.8
"56","Matjies","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",12.1
"57","Sout (Oos)","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Natural",24.1
