"zone","Endangered","Vulnerable","Critically Endangered","Least Concern","metric"
"Cool Temperate",24,9,0,0,"count"
"Subtropical",9,121,1,0,"count"
"Tropical",0,2,0,0,"count"
"Warm Temperate",3,67,0,54,"count"
"Cool Temperate",1213.7419016946,41.450794913487,0,0,"extent"
"Subtropical",3813.302512244,4758.0645311632,28.1520198775,0,"extent"
"Tropical",0,163.3258954488,0,0,"extent"
"Warm Temperate",430.270708527,7223.53023461665,0,780.27676615302,"extent"
"Cool Temperate",96.6976548680135,3.30234513198648,0,0,"perc"
"Subtropical",44.3432066861127,55.3294259382198,0.327367375667483,0,"perc"
"Tropical",0,100,0,0,"perc"
"Warm Temperate",5.10157391664442,85.6469490037344,0,9.25147707962117,"perc"
