"","Estuary name","Estuary type","Protection level"
"1","Orange","Cool Temperate Large Fluvially Dominated","Poorly Protected"
"2","Buffels","Cool Temperate Arid Predominantly Closed","Poorly Protected"
"3","Swartlintjies","Cool Temperate Arid Predominantly Closed","Poorly Protected"
"4","Spoeg","Cool Temperate Arid Predominantly Closed","Poorly Protected"
"5","Groen","Cool Temperate Arid Predominantly Closed","Poorly Protected"
"6","Sout (Noord)","Cool Temperate Arid Predominantly Closed","Poorly Protected"
"7","Olifants","Cool Temperate Predominantly Open","Not Protected"
"8","Jakkals","Cool Temperate Large Temporarily Closed","Poorly Protected"
"9","Wadrift","Cool Temperate Arid Predominantly Closed","Poorly Protected"
"10","Verlorenvlei","Cool Temperate Estuarine Lake","Poorly Protected"
"11","Groot Berg","Cool Temperate Predominantly Open","Not Protected"
"12","Langebaan","Cool Temperate Estuarine Lagoon","Moderately Protected"
"13","Diep/Rietvlei","Cool Temperate Large Temporarily Closed","Poorly Protected"
"14","Sout (Wes)","Cool Temperate Large Temporarily Closed","Poorly Protected"
"15","Disa","Cool Temperate Large Temporarily Closed","Poorly Protected"
"16","Wildevoëlvlei","Cool Temperate Large Temporarily Closed","Poorly Protected"
"17","Schuster","Cool Temperate Small Temporarily Closed","Moderately Protected"
"18","Krom","Cool Temperate Small Temporarily Closed","Moderately Protected"
"19","Silwermyn","Cool Temperate Large Temporarily Closed","Poorly Protected"
"20","Zand","Cool Temperate Large Temporarily Closed","Poorly Protected"
"21","Zeekoei","Cool Temperate Estuarine Lake","Poorly Protected"
"22","Eerste","Cool Temperate Large Temporarily Closed","Poorly Protected"
"23","Lourens","Cool Temperate Small Temporarily Closed","Moderately Protected"
"24","Sir Lowry’s Pass","Cool Temperate Small Temporarily Closed","Moderately Protected"
"25","Steenbras","Cool Temperate Small Fluvially Dominated","Well Protected"
"26","Rooiels","Cool Temperate Small Temporarily Closed","Moderately Protected"
"27","Buffels (Oos)","Cool Temperate Small Temporarily Closed","Moderately Protected"
"28","Palmiet","Cool Temperate Large Temporarily Closed","Poorly Protected"
"29","Bot/Kleinmond","Cool Temperate Estuarine Lake","Poorly Protected"
"30","Onrus","Cool Temperate Small Temporarily Closed","Moderately Protected"
"31","Klein","Cool Temperate Estuarine Lake","Poorly Protected"
"32","Uilkraals","Cool Temperate Predominantly Open","Not Protected"
"33","Ratel","Cool Temperate Small Temporarily Closed","Moderately Protected"
"34","Heuningnes","Warm Temperate Estuarine Lake","Moderately Protected"
"35","Klipdrifsfontein","Warm Temperate Small Temporarily Closed","Moderately Protected"
"36","Breede","Warm Temperate Predominantly Open","Poorly Protected"
"37","Duiwenhoks","Warm Temperate Predominantly Open","Poorly Protected"
"38","Goukou","Warm Temperate Predominantly Open","Poorly Protected"
"39","Gouritz","Warm Temperate Predominantly Open","Poorly Protected"
"40","Blinde","Warm Temperate Small Temporarily Closed","Moderately Protected"
"41","Tweekuilen","Warm Temperate Small Temporarily Closed","Moderately Protected"
"42","Gericke","Warm Temperate Small Temporarily Closed","Moderately Protected"
"43","Hartenbos","Warm Temperate Large Temporarily Closed","Poorly Protected"
"44","Klein Brak","Warm Temperate Large Temporarily Closed","Poorly Protected"
"45","Groot Brak","Warm Temperate Large Temporarily Closed","Poorly Protected"
"46","Maalgate","Warm Temperate Large Temporarily Closed","Poorly Protected"
"47","Gwaing","Warm Temperate Small Temporarily Closed","Moderately Protected"
"48","Kaaimans","Warm Temperate Predominantly Open","Poorly Protected"
"49","Touw/Wilderness","Warm Temperate Estuarine Lake","Moderately Protected"
"50","Swartvlei","Warm Temperate Estuarine Lake","Moderately Protected"
"51","Goukamma","Warm Temperate Large Temporarily Closed","Poorly Protected"
"52","Knysna","Warm Temperate Estuarine Bay","Moderately Protected"
"53","Noetsie","Warm Temperate Small Temporarily Closed","Moderately Protected"
"54","Piesang","Warm Temperate Large Temporarily Closed","Poorly Protected"
"55","Keurbooms","Warm Temperate Predominantly Open","Poorly Protected"
"56","Matjies","Warm Temperate Small Temporarily Closed","Moderately Protected"
"57","Sout (Oos)","Warm Temperate Predominantly Open","Poorly Protected"
"58","Groot (Wes)","Warm Temperate Small Temporarily Closed","Moderately Protected"
"59","Bloukrans","Warm Temperate Small Fluvially Dominated","Well Protected"
"60","Lottering","Warm Temperate Small Fluvially Dominated","Well Protected"
"61","Elandsbos","Warm Temperate Small Fluvially Dominated","Well Protected"
"62","Storms","Warm Temperate Small Fluvially Dominated","Well Protected"
"63","Elands","Warm Temperate Small Fluvially Dominated","Well Protected"
"64","Groot (Oos)","Warm Temperate Small Fluvially Dominated","Well Protected"
"65","Tsitsikamma","Warm Temperate Small Temporarily Closed","Moderately Protected"
"66","Klipdrif (Oos)","Warm Temperate Small Temporarily Closed","Moderately Protected"
"67","Slang","Warm Temperate Small Temporarily Closed","Moderately Protected"
"68","Kromme","Warm Temperate Predominantly Open","Poorly Protected"
"69","Seekoei","Warm Temperate Large Temporarily Closed","Poorly Protected"
"70","Kabeljous","Warm Temperate Large Temporarily Closed","Poorly Protected"
"71","Gamtoos","Warm Temperate Predominantly Open","Poorly Protected"
"72","Van Stadens","Warm Temperate Large Temporarily Closed","Poorly Protected"
"73","Maitland","Warm Temperate Large Temporarily Closed","Poorly Protected"
"74","Baakens","Warm Temperate Small Temporarily Closed","Moderately Protected"
"75","Papkuils","Warm Temperate Small Temporarily Closed","Moderately Protected"
"76","Swartkops","Warm Temperate Predominantly Open","Poorly Protected"
"77","Coega (Ngqurha)","Warm Temperate Large Temporarily Closed","Poorly Protected"
"78","Sundays","Warm Temperate Predominantly Open","Poorly Protected"
"79","Boknes","Warm Temperate Small Temporarily Closed","Moderately Protected"
"80","Bushmans","Warm Temperate Predominantly Open","Poorly Protected"
"81","Kariega","Warm Temperate Predominantly Open","Poorly Protected"
"82","Grant's","Warm Temperate Small Temporarily Closed","Moderately Protected"
"83","Kasouga","Warm Temperate Large Temporarily Closed","Poorly Protected"
"84","Kowie","Warm Temperate Predominantly Open","Poorly Protected"
"85","Rufane","Warm Temperate Small Temporarily Closed","Moderately Protected"
"86","Riet","Warm Temperate Small Temporarily Closed","Moderately Protected"
"87","West Kleinemonde","Warm Temperate Large Temporarily Closed","Poorly Protected"
"88","East Kleinemonde","Warm Temperate Large Temporarily Closed","Poorly Protected"
"89","Great Fish","Warm Temperate Predominantly Open","Poorly Protected"
"90","Old Woman’s","Warm Temperate Large Temporarily Closed","Poorly Protected"
"91","Mpekweni","Warm Temperate Large Temporarily Closed","Poorly Protected"
"92","Mtati (Mthathi)","Warm Temperate Large Temporarily Closed","Poorly Protected"
"93","Mgwalana","Warm Temperate Large Temporarily Closed","Poorly Protected"
"94","Bira (Bhirha)","Warm Temperate Large Temporarily Closed","Poorly Protected"
"95","Gqutywa","Warm Temperate Large Temporarily Closed","Poorly Protected"
"96","Ngculura (Ngculurha)","Warm Temperate Small Temporarily Closed","Moderately Protected"
"97","Mtana","Warm Temperate Small Temporarily Closed","Moderately Protected"
"98","Keiskamma","Warm Temperate Predominantly Open","Poorly Protected"
"99","Nqinisa","Warm Temperate Small Temporarily Closed","Moderately Protected"
"100","Kiwane (Khiwane)","Warm Temperate Large Temporarily Closed","Poorly Protected"
"101","Tyolomnqa","Warm Temperate Large Temporarily Closed","Poorly Protected"
"102","Shelbertsstroom","Warm Temperate Small Temporarily Closed","Moderately Protected"
"103","Lilyvale","Warm Temperate Small Temporarily Closed","Moderately Protected"
