"type","zone","protection_level","threat_status","RLE_EPL","leng"
"10_N_L","Lower foothill","Not Protected","Vulnerable","VU_NP",1972.01022777634
"10_N_M","Mountain stream","Well Protected","Least Concern","LC_WP",50330.6289617102
"10_N_U","Upper foothill","Poorly Protected","Least Concern","LC_PP",142321.496680765
"10_P_L","Lower foothill","Poorly Protected","Vulnerable","VU_PP",377485.660332358
"10_P_M","Mountain stream","Moderately Protected","Least Concern","LC_MP",147597.496265175
"10_P_U","Upper foothill","Poorly Protected","Least Concern","LC_PP",902386.940748308
"11_N_F","Lowland river","Poorly Protected","Critically Endangered","CR_PP",259530.876561295
"11_N_L","Lower foothill","Poorly Protected","Least Concern","LC_PP",4796280.46726565
"11_N_M","Mountain stream","Poorly Protected","Vulnerable","VU_PP",62993.2630414656
"11_N_U","Upper foothill","Not Protected","Least Concern","LC_NP",3394225.29333632
"11_P_F","Lowland river","Poorly Protected","Critically Endangered","CR_PP",4646375.54697109
"11_P_L","Lower foothill","Poorly Protected","Vulnerable","VU_PP",8442242.96822967
"11_P_M","Mountain stream","Poorly Protected","Vulnerable","VU_PP",89469.077517384
"11_P_U","Upper foothill","Poorly Protected","Least Concern","LC_PP",2760273.14287727
"12_N_F","Lowland river","Not Protected","Least Concern","LC_NP",3304.26389859087
"12_N_L","Lower foothill","Well Protected","Least Concern","LC_WP",179426.663127422
"12_N_M","Mountain stream","Poorly Protected","Least Concern","LC_PP",20929.1634595313
"12_N_U","Upper foothill","Well Protected","Least Concern","LC_WP",264340.081871785
"12_P_F","Lowland river","Poorly Protected","Critically Endangered","CR_PP",27294.6532986104
"12_P_L","Lower foothill","Well Protected","Least Concern","LC_WP",111408.101476893
"12_P_M","Mountain stream","Not Protected","Least Concern","LC_NP",2444.03890255562
"12_P_U","Upper foothill","Not Protected","Least Concern","LC_NP",30389.7219426598
"13_N_F","Lowland river","Well Protected","Critically Endangered","CR_WP",63674.2013757959
"13_N_L","Lower foothill","Well Protected","Least Concern","LC_WP",93345.2696548601
"13_N_U","Upper foothill","Well Protected","Least Concern","LC_WP",16610.7327366702
"13_P_F","Lowland river","Moderately Protected","Endangered","EN_MP",536552.176927725
"13_P_L","Lower foothill","Poorly Protected","Endangered","EN_PP",215740.101481715
"13_P_M","Mountain stream","Well Protected","Least Concern","LC_WP",4377.76976835622
"13_P_U","Upper foothill","Poorly Protected","Endangered","EN_PP",91026.6132518822
"14_N_F","Lowland river","Not Protected","Endangered","EN_NP",25882.0604649125
"14_N_L","Lower foothill","Not Protected","Least Concern","LC_NP",311766.013096091
"14_N_M","Mountain stream","Not Protected","Least Concern","LC_NP",54738.4121435363
"14_N_U","Upper foothill","Poorly Protected","Least Concern","LC_PP",458906.134771759
"14_P_F","Lowland river","Poorly Protected","Endangered","EN_PP",472507.060726363
"14_P_L","Lower foothill","Poorly Protected","Least Concern","LC_PP",2299388.46057316
"14_P_M","Mountain stream","Poorly Protected","Least Concern","LC_PP",309182.278150968
"14_P_U","Upper foothill","Poorly Protected","Least Concern","LC_PP",2927831.20478517
"15_N_F","Lowland river","Not Protected","Vulnerable","VU_NP",5740.39804225053
"15_N_L","Lower foothill","Not Protected","Endangered","EN_NP",473256.179254681
"15_N_M","Mountain stream","Moderately Protected","Endangered","EN_MP",146727.442321257
"15_N_U","Upper foothill","Poorly Protected","Critically Endangered","CR_PP",882760.41108747
"15_P_F","Lowland river","Poorly Protected","Critically Endangered","CR_PP",600616.588628708
"15_P_L","Lower foothill","Poorly Protected","Critically Endangered","CR_PP",2188706.67696741
"15_P_M","Mountain stream","Well Protected","Vulnerable","VU_WP",653748.5561604
"15_P_U","Upper foothill","Poorly Protected","Endangered","EN_PP",2310447.57104808
"16_N_L","Lower foothill","Not Protected","Least Concern","LC_NP",40072.6925801995
"16_N_M","Mountain stream","Not Protected","Endangered","EN_NP",56406.67558181
"16_N_U","Upper foothill","Not Protected","Critically Endangered","CR_NP",205624.880755142
"16_P_F","Lowland river","Not Protected","Vulnerable","VU_NP",417042.61666961
"16_P_L","Lower foothill","Not Protected","Least Concern","LC_NP",4075777.5232424
"16_P_M","Mountain stream","Poorly Protected","Least Concern","LC_PP",732780.409567114
"16_P_U","Upper foothill","Not Protected","Least Concern","LC_NP",6628821.18171514
"17_N_M","Mountain stream","Not Protected","Critically Endangered","CR_NP",1950.64528383367
