,type,zone,RLE18,RLE24,type24_m2,extent,EPL18,EPL24,RLE_EPL24
1,Albany Thicket_Depression,Depression,VU,VU,24912446.25,24.91244625,MP,MP,VU_MP
2,Albany Thicket_Floodplain,Floodplain,LC,LC,28862129.33,28.86212933,PP,NP,LC_NP
3,Albany Thicket_Seep,Seep,VU,VU,5136773.275,5.136773275,NP,PP,VU_PP
4,Albany Thicket_Unchannelled valley-bottom,Unchannelled valley-bottom,EN,VU,4372598.526,4.372598526,NP,NP,VU_NP
5,Bushmanland_Depression,Depression,CR,CR,3270558895,3270.558895,NP,PP,CR_PP
6,Bushmanland_Floodplain,Floodplain,LC,LC,94564752.84,94.56475284,NP,PP,LC_PP
7,Bushmanland_Seep,Seep,LC,LC,16779757.39,16.77975739,NP,PP,LC_PP
8,Bushmanland_Unchannelled valley-bottom,Unchannelled valley-bottom,LC,LC,707266009.9,707.2660099,NP,MP,LC_MP
9,Central Bushveld_Depression,Depression,CR,CR,52912191.29,52.91219129,PP,PP,CR_PP
10,Central Bushveld_Floodplain,Floodplain,EN,EN,1578674465,1578.674465,PP,PP,EN_PP
11,Central Bushveld_Seep,Seep,VU,VU,197991585.3,197.9915853,PP,PP,VU_PP
12,Central Bushveld_Unchannelled valley-bottom,Unchannelled valley-bottom,VU,VU,445804987,445.804987,PP,PP,VU_PP
13,Drakensberg Grassland_Depression,Depression,CR,CR,10870503.62,10.87050362,PP,PP,CR_PP
14,Drakensberg Grassland_Floodplain,Floodplain,LC,LC,239711283.5,239.7112835,PP,PP,LC_PP
15,Drakensberg Grassland_Seep,Seep,VU,VU,136385334.6,136.3853346,PP,PP,VU_PP
16,Drakensberg Grassland_Unchannelled valley-bottom,Unchannelled valley-bottom,EN,EN,18138039.45,18.13803945,NP,NP,EN_NP
17,Dry Highveld Grassland_Depression,Depression,CR,CR,1192458512,1192.458512,PP,PP,CR_PP
18,Dry Highveld Grassland_Floodplain,Floodplain,EN,EN,1485374631,1485.374631,PP,PP,EN_PP
19,Dry Highveld Grassland_Seep,Seep,LC,LC,243020502.6,243.0205026,PP,PP,LC_PP
20,Dry Highveld Grassland_Unchannelled valley-bottom,Unchannelled valley-bottom,EN,EN,836028785.3,836.0287853,PP,PP,EN_PP
21,East Coast Renosterveld_Depression,Depression,CR,CR,19487503.77,19.48750377,WP,WP,CR_WP
