,type,zone,RLE18,RLE24,type24_m2,extent,EPL18,EPL24,RLE_EPL24,,A,%,B,%,C,%,D,%,E,%,F,%,Grand Total,,Row Labels
1,Albany Thicket_Depression,Depression,VU,VU,24912446.25,24.91244625,MP,MP,VU_MP,,21,2.262931034,620,66.81034483,64,6.896551724,64,6.896551724,33,3.556034483,126,2.262931034,928,,Albany Thicket_Depression
2,Albany Thicket_Floodplain,Floodplain,LC,LC,28862129.33,28.86212933,PP,NP,LC_NP,,9,29.03225806,5,16.12903226,7,22.58064516,8,25.80645161,2,6.451612903,,29.03225806,31,,Albany Thicket_Floodplain
3,Albany Thicket_Seep,Seep,VU,VU,5136773.275,5.136773275,NP,PP,VU_PP,,37,34.25925926,7,6.481481481,18,16.66666667,20,18.51851852,25,23.14814815,,34.25925926,108,,Albany Thicket_Seep
4,Albany Thicket_Unchannelled valley-bottom,Unchannelled valley-bottom,EN,VU,4372598.526,4.372598526,NP,NP,VU_NP,,12,46.15384615,2,7.692307692,1,3.846153846,3,11.53846154,7,26.92307692,,46.15384615,26,,Albany Thicket_Unchannelled valley-bottom
5,Bushmanland_Depression,Depression,CR,CR,3270558895,3270.558895,NP,PP,CR_PP,,364,5.490196078,6053,91.29713424,74,1.116138763,31,0.467571644,64,0.965309201,44,5.490196078,6630,,Bushmanland_Depression
6,Bushmanland_Floodplain,Floodplain,LC,LC,94564752.84,94.56475284,NP,PP,LC_PP,,36,92.30769231,1,2.564102564,1,2.564102564,,0,,0,,92.30769231,39,,Bushmanland_Floodplain
7,Bushmanland_Seep,Seep,LC,LC,16779757.39,16.77975739,NP,PP,LC_PP,,20,90.90909091,1,4.545454545,1,4.545454545,,0,,0,,90.90909091,22,,Bushmanland_Seep
8,Bushmanland_Unchannelled valley-bottom,Unchannelled valley-bottom,LC,LC,707266009.9,707.2660099,NP,MP,LC_MP,,69,88.46153846,7,8.974358974,1,1.282051282,,0,,0,,88.46153846,78,,Bushmanland_Unchannelled valley-bottom
9,Central Bushveld_Depression,Depression,CR,CR,52912191.29,52.91219129,PP,PP,CR_PP,,101,3.141524106,2532,78.75583204,175,5.443234837,162,5.038880249,77,2.395023328,168,3.141524106,3215,,Central Bushveld_Depression
10,Central Bushveld_Floodplain,Floodplain,EN,EN,1578674465,1578.674465,PP,PP,EN_PP,,206,22.48908297,133,14.51965066,239,26.09170306,161,17.57641921,152,16.59388646,15,22.48908297,916,,Central Bushveld_Floodplain
11,Central Bushveld_Seep,Seep,VU,VU,197991585.3,197.9915853,PP,PP,VU_PP,,530,32.675709,150,9.24784217,280,17.26263872,236,14.54993835,328,20.22194821,55,32.675709,1622,,Central Bushveld_Seep
12,Central Bushveld_Unchannelled valley-bottom,Unchannelled valley-bottom,VU,VU,445804987,445.804987,PP,PP,VU_PP,,161,26.69983416,73,12.10613599,138,22.88557214,116,19.2371476,95,15.75456053,17,26.69983416,603,,Central Bushveld_Unchannelled valley-bottom
13,Drakensberg Grassland_Depression,Depression,CR,CR,10870503.62,10.87050362,PP,PP,CR_PP,,38,9.693877551,320,81.63265306,8,2.040816327,14,3.571428571,2,0.510204082,9,9.693877551,392,,Drakensberg Grassland_Depression
14,Drakensberg Grassland_Floodplain,Floodplain,LC,LC,239711283.5,239.7112835,PP,PP,LC_PP,,94,24.67191601,42,11.02362205,111,29.13385827,97,25.45931759,33,8.661417323,1,24.67191601,381,,Drakensberg Grassland_Floodplain
15,Drakensberg Grassland_Seep,Seep,VU,VU,136385334.6,136.3853346,PP,PP,VU_PP,,1745,61.24956125,180,6.318006318,237,8.318708319,209,7.335907336,228,8.002808003,62,61.24956125,2849,,Drakensberg Grassland_Seep
16,Drakensberg Grassland_Unchannelled valley-bottom,Unchannelled valley-bottom,EN,EN,18138039.45,18.13803945,NP,NP,EN_NP,,69,67.64705882,2,1.960784314,11,10.78431373,6,5.882352941,10,9.803921569,2,67.64705882,102,,Drakensberg Grassland_Unchannelled valley-bottom
17,Dry Highveld Grassland_Depression,Depression,CR,CR,1192458512,1192.458512,PP,PP,CR_PP,,1424,6.311497208,10017,44.39765978,4779,21.18163283,2571,11.39526638,1189,5.269922879,2582,6.311497208,22562,,Dry Highveld Grassland_Depression
18,Dry Highveld Grassland_Floodplain,Floodplain,EN,EN,1485374631,1485.374631,PP,PP,EN_PP,,300,21.05263158,388,27.22807018,451,31.64912281,152,10.66666667,111,7.789473684,16,21.05263158,1425,,Dry Highveld Grassland_Floodplain
19,Dry Highveld Grassland_Seep,Seep,LC,LC,243020502.6,243.0205026,PP,PP,LC_PP,,390,32.33830846,248,20.56384743,266,22.05638474,114,9.452736318,150,12.43781095,20,32.33830846,1206,,Dry Highveld Grassland_Seep
20,Dry Highveld Grassland_Unchannelled valley-bottom,Unchannelled valley-bottom,EN,EN,836028785.3,836.0287853,PP,PP,EN_PP,,160,14.67889908,340,31.19266055,368,33.76146789,127,11.65137615,82,7.52293578,9,14.67889908,1090,,Dry Highveld Grassland_Unchannelled valley-bottom
21,East Coast Renosterveld_Depression,Depression,CR,CR,19487503.77,19.48750377,WP,WP,CR_WP,,8,11.11111111,16,22.22222222,23,31.94444444,11,15.27777778,8,11.11111111,6,11.11111111,72,,East Coast Renosterveld_Depression
22,East Coast Renosterveld_Floodplain,Floodplain,VU,VU,349908052.2,349.9080522,NP,NP,VU_NP,,69,2.320887992,88,2.959973091,393,13.21897074,783,26.3370333,1478,49.71409351,6,2.320887992,2973,,East Coast Renosterveld_Floodplain
23,East Coast Renosterveld_Seep,Seep,VU,VU,82102431.04,82.10243104,PP,PP,VU_PP,,117,12.66233766,62,6.70995671,172,18.61471861,208,22.51082251,305,33.00865801,10,12.66233766,924,,East Coast Renosterveld_Seep
24,East Coast Renosterveld_Unchannelled valley-bottom,Unchannelled valley-bottom,EN,VU,11483661.07,11.48366107,MP,MP,VU_MP,,1,4.347826087,5,21.73913043,4,17.39130435,6,26.08695652,7,30.43478261,,4.347826087,23,,East Coast Renosterveld_Unchannelled valley-bottom
25,Eastern Fynbos-Renosterveld_Depression,Depression,EN,EN,4272926.264,4.272926264,PP,PP,EN_PP,,5,1.607717042,164,52.73311897,21,6.752411576,25,8.038585209,15,4.823151125,81,1.607717042,311,,Eastern Fynbos-Renosterveld_Depression
26,Eastern Kalahari Bushveld_Depression,Depression,VU,VU,1040460052,1040.460052,NP,NP,VU_NP,,1053,3.139160506,29259,87.22573337,1515,4.516455998,820,2.444550441,256,0.763176723,641,3.139160506,33544,,Eastern Kalahari Bushveld_Depression
27,Eastern Kalahari Bushveld_Seep,Seep,EN,EN,283804164.3,283.8041643,NP,NP,EN_NP,,178,54.43425076,40,12.2324159,34,10.39755352,29,8.868501529,38,11.62079511,2,54.43425076,327,,Eastern Kalahari Bushveld_Seep
28,Eastern Kalahari Bushveld_Unchannelled valley-bottom,Unchannelled valley-bottom,EN,EN,382738249.2,382.7382492,NP,NP,EN_NP,,190,53.97727273,80,22.72727273,51,14.48863636,17,4.829545455,11,3.125,1,53.97727273,352,,Eastern Kalahari Bushveld_Unchannelled valley-bottom
29,Kalahari Duneveld_Depression,Depression,CR,CR,342667807.8,342.6678078,PP,PP,CR_PP,,42,2.413793103,1672,96.09195402,15,0.862068966,7,0.402298851,3,0.172413793,1,2.413793103,1740,,Kalahari Duneveld_Depression
30,Kalahari Duneveld_Seep,Seep,LC,LC,8160196.767,8.160196767,NP,NP,LC_NP,,2,100,,0,,0,,0,,0,,100,2,,Kalahari Duneveld_Seep
31,Karoo Interior_Depression,Depression,CR,CR,669213911,669.213911,NP,NP,CR_NP,,234,5.366972477,3800,87.1559633,150,3.440366972,95,2.178899083,31,0.711009174,50,5.366972477,4360,,Karoo Interior_Depression
32,Karoo Interior_Floodplain,Floodplain,LC,LC,1293315857,1293.315857,NP,NP,LC_NP,,533,63.00236407,102,12.05673759,113,13.356974,63,7.446808511,28,3.309692671,,63.00236407,846,,Karoo Interior_Floodplain
33,Karoo Interior_Seep,Seep,LC,LC,87677660.28,87.67766028,PP,PP,LC_PP,,205,71.92982456,20,7.01754386,30,10.52631579,10,3.50877193,12,4.210526316,2,71.92982456,285,,Karoo Interior_Seep
34,Karoo Interior_Unchannelled valley-bottom,Unchannelled valley-bottom,LC,LC,212778071.2,212.7780712,PP,PP,LC_PP,,135,71.80851064,26,13.82978723,13,6.914893617,4,2.127659574,6,3.191489362,,71.80851064,188,,Karoo Interior_Unchannelled valley-bottom
35,Knersvlakte_Depression,Depression,EN,EN,1583279.22,1.58327922,PP,PP,EN_PP,,1,9.090909091,9,81.81818182,,0,,0,1,9.090909091,,9.090909091,11,,Knersvlakte_Depression
36,Kwa-Zulu Natal Coastal Belt_Floodplain,Floodplain,EN,EN,65653204.76,65.65320476,NP,NP,EN_NP,,2,0.643086817,10,3.215434084,24,7.717041801,32,10.28938907,76,24.43729904,127,0.643086817,311,,Kwa-Zulu Natal Coastal Belt_Floodplain
37,Kwa-Zulu Natal Coastal Belt_Seep,Seep,CR,CR,46821241.98,46.82124198,NP,NP,CR_NP,,46,3.588143526,35,2.730109204,69,5.382215289,78,6.08424337,398,31.04524181,566,3.588143526,1282,,Kwa-Zulu Natal Coastal Belt_Seep
38,Kwa-Zulu Natal Coastal Belt_Unchannelled valley-bottom,Unchannelled valley-bottom,EN,EN,27184270.21,27.18427021,NP,NP,EN_NP,,2,0.420168067,8,1.680672269,36,7.56302521,36,7.56302521,136,28.57142857,224,0.420168067,476,,Kwa-Zulu Natal Coastal Belt_Unchannelled valley-bottom
39,Lowveld_Depression,Depression,EN,EN,90148294.97,90.14829497,MP,MP,EN_MP,,113,3.601019758,2395,76.32249841,152,4.843849586,155,4.93945188,85,2.708731676,222,3.601019758,3138,,Lowveld_Depression
40,Lowveld_Floodplain,Floodplain,VU,VU,624016223.6,624.0162236,WP,WP,VU_WP,,514,31.59188691,146,8.97357099,258,15.85740627,206,12.66133989,260,15.9803319,153,31.59188691,1627,,Lowveld_Floodplain
41,Lowveld_Seep,Seep,LC,LC,238371210.3,238.3712103,MP,MP,LC_MP,,655,23.79222666,224,8.136578278,327,11.87795133,344,12.4954595,737,26.7707955,383,23.79222666,2753,,Lowveld_Seep
42,Lowveld_Unchannelled valley-bottom,Unchannelled valley-bottom,LC,LC,66853866.64,66.85386664,MP,MP,LC_MP,,90,11.47959184,67,8.545918367,124,15.81632653,133,16.96428571,213,27.16836735,138,11.47959184,784,,Lowveld_Unchannelled valley-bottom
43,Maputaland Coastal Belt_Depression,Depression,CR,CR,223034187.5,223.0341875,WP,WP,CR_WP,,9,0.711462451,692,54.70355731,153,12.09486166,89,7.035573123,82,6.482213439,240,0.711462451,1265,,Maputaland Coastal Belt_Depression
44,Maputaland Coastal Belt_Floodplain,Floodplain,EN,EN,560194213.9,560.1942139,MP,MP,EN_MP,,51,26.98412698,17,8.994708995,19,10.05291005,15,7.936507937,41,21.69312169,7,26.98412698,189,,Maputaland Coastal Belt_Floodplain
45,Maputaland Coastal Belt_Seep,Seep,EN,CR,37221204.6,37.2212046,MP,MP,CR_MP,,110,19.36619718,20,3.521126761,28,4.929577465,33,5.809859155,149,26.23239437,182,19.36619718,568,,Maputaland Coastal Belt_Seep
46,Maputaland Coastal Belt_Unchannelled valley-bottom,Unchannelled valley-bottom,CR,CR,58239353.69,58.23935369,PP,PP,CR_PP,,33,18.85714286,14,8,17,9.714285714,10,5.714285714,49,28,46,18.85714286,175,,Maputaland Coastal Belt_Unchannelled valley-bottom
47,Mesic Highveld Grassland_Depression,Depression,LC,LC,473255912.8,473.2559128,PP,PP,LC_PP,,791,8.422958151,4667,49.69651794,2141,22.79842402,919,9.785965286,360,3.833457566,513,8.422958151,9391,,Mesic Highveld Grassland_Depression
48,Mesic Highveld Grassland_Floodplain,Floodplain,VU,VU,4755817577,4755.817577,PP,PP,VU_PP,,1065,12.35212248,1894,21.96706101,2810,32.59104616,1334,15.47204825,1215,14.09185804,125,12.35212248,8622,,Mesic Highveld Grassland_Floodplain
49,Mesic Highveld Grassland_Seep,Seep,VU,VU,1623925814,1623.925814,PP,PP,VU_PP,,4514,28.00074437,2381,14.76955524,3648,22.62886918,2153,13.35525091,2845,17.6477886,352,28.00074437,16121,,Mesic Highveld Grassland_Seep
50,Mesic Highveld Grassland_Unchannelled valley-bottom,Unchannelled valley-bottom,VU,VU,420371719,420.371719,PP,PP,VU_PP,,237,13.90029326,210,12.31671554,516,30.26392962,309,18.12316716,330,19.35483871,69,13.90029326,1705,,Mesic Highveld Grassland_Unchannelled valley-bottom
51,Mopane_Depression,Depression,CR,CR,12574153.39,12.57415339,WP,WP,CR_WP,,7,1.289134438,499,91.89686924,15,2.762430939,9,1.657458564,5,0.920810313,8,1.289134438,543,,Mopane_Depression
52,Mopane_Floodplain,Floodplain,EN,EN,304451564.9,304.4515649,WP,WP,EN_WP,,261,88.17567568,8,2.702702703,10,3.378378378,4,1.351351351,7,2.364864865,6,88.17567568,296,,Mopane_Floodplain
53,Mopane_Seep,Seep,LC,LC,1115907.835,1.115907835,WP,WP,LC_WP,,21,95.45454545,,0,1,4.545454545,,0,,0,,95.45454545,22,,Mopane_Seep
54,Mopane_Unchannelled valley-bottom,Unchannelled valley-bottom,LC,LC,43454013.19,43.45401319,PP,PP,LC_PP,,20,95.23809524,1,4.761904762,,0,,0,,0,,95.23809524,21,,Mopane_Unchannelled valley-bottom
55,Namaqualand_Depression,Depression,CR,CR,122947907.8,122.9479078,PP,PP,CR_PP,,7,3.225806452,149,68.66359447,5,2.304147465,5,2.304147465,7,3.225806452,44,3.225806452,217,,Namaqualand_Depression
56,Northwest Fynbos_Depression,Depression,CR,CR,12207547.95,12.20754795,PP,PP,CR_PP,,15,13.51351351,84,75.67567568,6,5.405405405,3,2.702702703,2,1.801801802,1,13.51351351,111,,Northwest Fynbos_Depression
57,Northwest Fynbos_Floodplain,Floodplain,EN,EN,147619806.6,147.6198066,PP,PP,EN_PP,,66,25,27,10.22727273,77,29.16666667,55,20.83333333,33,12.5,1,25,264,,Northwest Fynbos_Floodplain
58,Northwest Fynbos_Seep,Seep,EN,EN,36328078.28,36.32807828,MP,MP,EN_MP,,248,52.65392781,35,7.430997877,50,10.61571125,44,9.341825902,72,15.2866242,6,52.65392781,471,,Northwest Fynbos_Seep
59,Northwest Fynbos_Unchannelled valley-bottom,Unchannelled valley-bottom,EN,EN,6879912.951,6.879912951,PP,PP,EN_PP,,8,32,2,8,5,20,4,16,6,24,,32,25,,Northwest Fynbos_Unchannelled valley-bottom
60,Pondoland Coastal Belt_Floodplain,Floodplain,LC,LC,3779961.171,3.779961171,NP,NP,LC_NP,,9,31.03448276,7,24.13793103,6,20.68965517,2,6.896551724,5,17.24137931,,31.03448276,29,,Pondoland Coastal Belt_Floodplain
61,Pondoland Coastal Belt_Seep,Seep,EN,LC,15336763.6,15.3367636,NP,NP,LC_NP,,113,27.22891566,46,11.08433735,72,17.34939759,57,13.73493976,93,22.40963855,14,27.22891566,415,,Pondoland Coastal Belt_Seep
62,Pondoland Coastal Belt_Unchannelled valley-bottom,Unchannelled valley-bottom,LC,LC,4842956.74,4.84295674,PP,PP,LC_PP,,9,40.90909091,5,22.72727273,6,27.27272727,1,4.545454545,1,4.545454545,,40.90909091,22,,Pondoland Coastal Belt_Unchannelled valley-bottom
63,Southern Fynbos_Depression,Depression,EN,VU,15009819.04,15.00981904,WP,WP,VU_WP,,14,37.83783784,17,45.94594595,3,8.108108108,3,8.108108108,,0,,37.83783784,37,,Southern Fynbos_Depression
64,Southern Fynbos_Floodplain,Floodplain,VU,VU,235922196,235.922196,PP,PP,VU_PP,,182,24.56140351,73,9.851551957,160,21.59244265,153,20.64777328,128,17.27395412,17,24.56140351,741,,Southern Fynbos_Floodplain
65,Southern Fynbos_Seep,Seep,LC,LC,111133895.1,111.1338951,MP,MP,LC_MP,,500,29.55082742,95,5.61465721,178,10.52009456,180,10.63829787,400,23.64066194,220,29.55082742,1692,,Southern Fynbos_Seep
66,Southern Fynbos_Unchannelled valley-bottom,Unchannelled valley-bottom,VU,VU,23725013,23.725013,PP,PP,VU_PP,,25,14.61988304,12,7.01754386,38,22.22222222,31,18.12865497,39,22.80701754,19,14.61988304,171,,Southern Fynbos_Unchannelled valley-bottom
67,Southwest Fynbos_Depression,Depression,LC,LC,6997578.431,6.997578431,WP,WP,LC_WP,,10,35.71428571,15,53.57142857,2,7.142857143,1,3.571428571,,0,,35.71428571,28,,Southwest Fynbos_Depression
68,Southwest Fynbos_Floodplain,Floodplain,VU,VU,354072715.1,354.0727151,PP,PP,VU_PP,,485,30.06819591,153,9.485430874,297,18.41289523,245,15.18908865,294,18.22690639,59,30.06819591,1613,,Southwest Fynbos_Floodplain
69,Southwest Fynbos_Seep,Seep,VU,VU,201791862.9,201.7918629,WP,WP,VU_WP,,2480,60.68020553,121,2.960606802,200,4.893564962,224,5.480792758,526,12.87007585,151,60.68020553,4087,,Southwest Fynbos_Seep
70,Southwest Fynbos_Unchannelled valley-bottom,Unchannelled valley-bottom,EN,EN,13812182.75,13.81218275,PP,PP,EN_PP,,56,28.42639594,15,7.614213198,20,10.15228426,23,11.6751269,49,24.87309645,7,28.42639594,197,,Southwest Fynbos_Unchannelled valley-bottom
71,Sub-Escarpment Grassland_Depression,Depression,EN,EN,46029578.65,46.02957865,PP,PP,EN_PP,,172,13.05998481,695,52.77145027,156,11.84510251,119,9.035687168,60,4.555808656,115,13.05998481,1317,,Sub-Escarpment Grassland_Depression
72,Sub-escarpment Grassland_Floodplain,Floodplain,VU,VU,1225375949,1225.375949,PP,PP,VU_PP,,180,11.10425663,172,10.61073411,372,22.94879704,378,23.31893893,392,24.18260333,100,11.10425663,1621,,Sub-escarpment Grassland_Floodplain
73,Sub-escarpment Grassland_Seep,Seep,VU,VU,1356158796,1356.158796,NP,NP,VU_NP,,4042,27.22618887,1205,8.116664421,1950,13.13485114,1935,13.03381382,3612,24.3297858,1344,27.22618887,14846,,Sub-escarpment Grassland_Seep
74,Sub-escarpment Grassland_Unchannelled valley-bottom,Unchannelled valley-bottom,LC,LC,272549612,272.549612,PP,PP,LC_PP,,222,22.24448898,128,12.8256513,210,21.04208417,183,18.33667335,212,21.24248497,34,22.24448898,998,,Sub-escarpment Grassland_Unchannelled valley-bottom
