"zone","Critically Endangered","Endangered","Vulnerable","Least Concern","Total","metric"
"Depression",12,4,4,2,22,"count"
"Floodplain",0,7,7,5,19,"count"
"Seep",2,3,8,8,21,"count"
"Unchannelled valley-bottom",1,8,5,6,20,"count"
"Total count",15,22,24,21,82,"count"
"Depression",5946.87180474,142.034079104,1084.237219531,480.253491231,7653.396594606,"extent"
"Floodplain",0,4340.46456466,7717.4996623,1660.233983841,13718.198210801,"extent"
"Seep",84.04244658,353.23477274,3794.963914715,721.595893872,4953.837027907,"extent"
"Unchannelled valley-bottom",58.23935369,1309.646659292,905.757978596,1307.74452967,3581.388521248,"extent"
"Total extent",6089.15360501,6145.380075796,13502.458775142,4169.827898614,29906.820354562,"extent"
