"ecosystem_functional_type_getl3","Natural / near-natural ","Moderately modified","Heavily modified","Severely modified"
"Pelagic ocean waters",804374.982572,19262.736548401,17404.317886887,0
"Abyssal plains",383069.491343,19258.058594,0,0
"Sandy shelves",42640.325034648,23968.715049471,12062.29659978,16019.936246387
"Boulder/cobble shores",0.908149143,1.932052126,0.632554386,1.054032745
"Sandy shores",204.986485973,76.890736221,23.677184193,66.998469053
"Rocky shores",157.647291391,228.55534904,71.695949971,160.391878836
"Photic rocky reefs",291.143714456,1092.976956987,936.513440486,1158.145206296
"Kelp forests",1.339042543,8.462979732,6.861795828,12.784887708
"Canyons",2446.83890979,3093.15068437,33.74431051,2943.158783
"Rocky shelves",41516.144574752,25096.244115983,7263.640548924,10454.64163445
"Muddy shelves",25444.416708297,8566.40822204,2506.176904842,2228.810598697
"Plateaus",14061.994684,0,0,0
"Bays",134.530257303,1795.83857835,1291.53290776,2145.4378232
"Deepwater biogenic beds",0,29.51132002,0.000179748,74.07891261
"Photic coral reefs",26.498312255,0.000762182,0,0
"Slopes",345300.960879,61532.29297,2592.628157935,4096.898381025
"Seamounts",5276.7437434,874.1940856,0,0
