"ecosystem_functional_type_getl3","Not Protected","Poorly Protected","Moderately Protected","Well Protected","metric"
"Abyssal plains",2,3,0,0,"count"
"Bays",1,3,1,0,"count"
"Boulder/cobble shores",0,0,2,1,"count"
"Canyons",2,1,3,3,"count"
"Deepwater biogenic beds",0,0,1,0,"count"
"Kelp forests",0,3,0,0,"count"
"Rocky shelves",5,8,12,6,"count"
"Muddy shelves",4,4,6,0,"count"
"Pelagic ocean waters",5,7,0,1,"count"
"Photic coral reefs",0,0,0,3,"count"
"Photic rocky reefs",0,4,5,1,"count"
"Plateaus",0,0,2,0,"count"
"Rocky shores",1,10,7,4,"count"
"Sandy shelves",2,8,4,6,"count"
"Sandy shores",1,3,4,4,"count"
"Seamounts",1,0,0,3,"count"
"Slopes",3,2,1,0,"count"
"Abyssal plains",214458.774686025,187868.775207028,0,0,"extent"
"Bays",980.823124156415,2755.32821296244,1631.18822935712,0,"extent"
"Boulder/cobble shores",0,0,4.25341601365447,0.273372386433886,"extent"
"Canyons",3255.88303520039,2394.81872120074,2562.76800160394,303.422930187601,"extent"
"Deepwater biogenic beds",0,0,103.590412382089,0,"extent"
"Kelp forests",0,29.4487058101225,0,0,"extent"
"Rocky shelves",25142.8056580765,35789.9144545385,18433.8875700837,4964.06318548125,"extent"
"Muddy shelves",20179.7570032446,15586.9543631487,2979.10106734206,0,"extent"
"Pelagic ocean waters",302141.292432598,525396.617295089,0,14407.2212832057,"extent"
"Photic coral reefs",0,0,0,26.4990744392313,"extent"
"Photic rocky reefs",0,1251.72270310108,2209.38059253906,17.6760227477687,"extent"
"Plateaus",0,0,14061.9946834132,0,"extent"
"Rocky shores",1.48131661842756,356.353665748903,193.550440823892,66.9050460511266,"extent"
"Sandy shelves",12370.157003952,76033.0143724937,3305.81326320627,2982.28829438331,"extent"
"Sandy shores",0.705740773370085,43.7479072200658,207.513776531802,120.585450909754,"extent"
"Seamounts",1614.36086629061,0,0,4536.57696225565,"extent"
"Slopes",302541.148424051,93512.8103074527,17527.1727092983,0,"extent"
