"Bathome","Ecosystem type","Protection level","Threat status","Threat basis"
"Deepsea benthic","Agulhas Basin Abyss","Poorly Protected","Least Concern","B1aii_B1aiii; B2aii_B2aiii; B3; C3"
"Shelf","St Helena Bay","Not Protected","Endangered","B1aii_B1aiii"
"Shore","Natal Mixed Shore","Moderately Protected","Vulnerable","C3"
"Shelf","Agulhas Muddy Mid Shelf","Poorly Protected","Critically Endangered","C3"
"Shelf","Agulhas Muddy Outer Shelf","Poorly Protected","Near Threatened","C3"
"Shelf","Namaqua Muddy Mid Shelf Mosaic","Poorly Protected","Least Concern","B1aii_B1aiii; B2aii_B2aiii; B3; C3"
"Shelf","KZN Bight Muddy Inner Shelf","Moderately Protected","Critically Endangered","B1aii_B1aiii"
"Shelf","KZN Bight Muddy Shelf Edge","Moderately Protected","Vulnerable","C3"
"Shelf","Orange Cone Inner Shelf Mud Reef Mosaic","Not Protected","Critically Endangered","B1aii_B1aiii"
"Shelf","Orange Cone Muddy Mid Shelf","Not Protected","Endangered","B1aii_B1aiii; C3"
"Shelf","Port St Johns Muddy Mid Shelf","Moderately Protected","Vulnerable","C3"
"Shelf","Port St Johns Muddy Shelf Edge","Moderately Protected","Vulnerable","C3"
"Shelf","uThukela Mid Shelf Mud Coarse Sediment Mosaic","Moderately Protected","Vulnerable","C3"
"Shelf","uThukela Outer Shelf Muddy Reef Mosaic","Moderately Protected","Vulnerable","C3"
"Shelf","Agulhas Inner Shelf Reef","Well Protected","Least Concern","B1aii_B1aiii; B2aii_B2aiii; B3; C3"
"Shelf","Agulhas Inner Shelf Mosaic","Moderately Protected","Vulnerable","C3"
"Shelf","Aliwal Shoal Reef Complex","Moderately Protected","Critically Endangered","B1aii_B1aiii"
"Shelf","Cape Rocky Inner Shelf","Poorly Protected","Vulnerable","C3"
"Shelf","Durnford Inner Shelf Reef Complex","Poorly Protected","Endangered","C3"
"Shelf","Kosi Coral Community","Well Protected","Vulnerable","B3"
"Shelf","Leadsman Coral Community","Well Protected","Vulnerable","B3"
"Shelf","Port St Johns Inner Shelf Mosaic","Moderately Protected","Vulnerable","C3"
"Shelf","Sodwana Coral Community","Well Protected","Vulnerable","B3"
"Shelf","Trafalgar Reef Complex","Poorly Protected","Endangered","C3"
"Shore","Agulhas Boulder Shore","Moderately Protected","Near Threatened","C3"
"Shore","Agulhas Exposed Stromatolite Rocky Shore","Poorly Protected","Near Threatened","C3"
"Shore","Agulhas Exposed Rocky Shore","Moderately Protected","Vulnerable","C3"
"Shore","Agulhas Sheltered Rocky Shore","Poorly Protected","Endangered","C3"
"Shore","Agulhas Very Exposed Stromatolite Rocky Shore","Moderately Protected","Near Threatened","C3"
"Shore","Agulhas Very Exposed Rocky Shore","Poorly Protected","Least Concern","B1aii_B1aiii; B2aii_B2aiii; B3; C3"
"Shore","Cape Boulder Shore","Moderately Protected","Vulnerable","C3"
"Shore","Cape Exposed Rocky Shore","Moderately Protected","Vulnerable","C3"
"Shore","Cape Sheltered Rocky Shore","Not Protected","Endangered","C3"
"Shore","Cape Very Exposed Rocky Shore","Moderately Protected","Least Concern","B1aii_B1aiii; B2aii_B2aiii; B3; C3"
"Shore","Delagoa Very Exposed Rocky Shore","Well Protected","Least Concern","B1aii_B1aiii; B2aii_B2aiii; B3; C3"
"Shore","Namaqua Exposed Rocky Shore","Poorly Protected","Endangered","B1aii_B1aiii"
"Shore","Namaqua Sheltered Rocky Shore","Poorly Protected","Endangered","B1aii_B1aiii; B2aii_B2aiii"
"Shore","Namaqua Very Exposed Rocky Shore","Poorly Protected","Endangered","B1aii_B1aiii; B2aii_B2aiii"
"Shore","Natal Boulder Shore","Well Protected","Vulnerable","C3"
"Shore","Natal Exposed Rocky Shore","Well Protected","Near Threatened","C3"
"Shore","Natal Very Exposed Rocky Shore","Moderately Protected","Near Threatened","C3"
"Shore","Agulhas Dissipative Intermediate Sandy Shore","Moderately Protected","Least Concern","B1aii_B1aiii; B2aii_B2aiii; B3; C3"
"Shore","Agulhas Dissipative Sandy Shore","Moderately Protected","Near Threatened","C3"
"Shore","Agulhas Intermediate Sandy Shore","Moderately Protected","Least Concern","B1aii_B1aiii; B2aii_B2aiii; B3; C3"
"Shore","Agulhas Reflective Sandy Shore","Poorly Protected","Endangered","B2aii_B2aiii"
"Shore","Natal Delagoa Dissipative Intermediate Sandy Shore","Well Protected","Least Concern","B1aii_B1aiii; B2aii_B2aiii; B3; C3"
"Shore","Natal Delagoa Intermediate Sandy Shore","Well Protected","Near Threatened","C3"
"Shore","Natal Delagoa Dissipative Sandy Shore","Not Protected","Near Threatened","C3"
"Shore","Delagoa Mixed Shore","Well Protected","Least Concern","B1aii_B1aiii; B2aii_B2aiii; B3; C3"
"Shore","Natal Delagoa Reflective Sandy Shore","Well Protected","Endangered","B1aii_B1aiii; B2aii_B2aiii"
"Shore","Southern Benguela Dissipative Intermediate Sandy Shore","Moderately Protected","Least Concern","B1aii_B1aiii; B2aii_B2aiii; B3; C3"
"Shore","Southern Benguela Dissipative Sandy Shore","Well Protected","Least Concern","B1aii_B1aiii; B2aii_B2aiii; B3; C3"
"Shore","Southern Benguela Intermediate Sandy Shore","Poorly Protected","Near Threatened","C3"
"Shore","Southern Benguela Reflective Sandy Shore","Poorly Protected","Endangered","C3"
"Deepsea benthic","Southeast Atlantic Seamount","Well Protected","Least Concern","B1aii_B1aiii; B2aii_B2aiii; B3; C3"
