"Ecosystem functional group","Critically Endangered","Endangered","Vulnerable","Near Threatened","Least Concern"
"Abyssal plains",0,0,0,0,5
"Bays",1,4,0,0,0
"Boulder/cobble shores",0,0,2,1,0
"Canyons",0,2,0,0,7
"Deepwater biogenic beds",0,1,0,0,0
"Kelp forests",0,0,3,0,0
"Mesophotic and sub-photic rocky shelves",1,5,8,4,13
"Muddy shelves",3,2,5,1,3
"Pelagic ocean waters",0,0,2,0,11
"Photic coral reefs",0,0,3,0,0
"Photic rocky reefs",1,4,4,0,1
"Plateaus",0,0,0,0,2
"Rocky shores",0,8,5,5,4
"Sandy shelves",0,2,4,4,10
"Sandy shores",0,3,0,4,5
"Seamounts",0,0,0,0,4
"Slopes",0,0,0,0,6
