"Bathome","Ecosystem Functional Group","IUCN Ecosystem Functional Group code","Ecosystem type"
"Deepsea benthic","Abyssal plains","M3.3","Agulhas Basin Abyss"
"Shelf","Bays","No IUCN code","St Helena Bay"
"Shore","Rocky shores","MT1.1","Natal Mixed Shore"
"Shelf","Muddy shelves","M1.8","Agulhas Muddy Mid Shelf"
"Shelf","Muddy shelves","M1.8","Agulhas Muddy Outer Shelf"
"Shelf","Muddy shelves","M1.8","Namaqua Muddy Mid Shelf Mosaic"
"Shelf","Muddy shelves","M1.8","KZN Bight Muddy Inner Shelf"
"Shelf","Muddy shelves","M1.8","KZN Bight Muddy Shelf Edge"
"Shelf","Muddy shelves","M1.8","Orange Cone Inner Shelf Mud Reef Mosaic"
"Shelf","Muddy shelves","M1.8","Orange Cone Muddy Mid Shelf"
"Shelf","Muddy shelves","M1.8","Port St Johns Muddy Mid Shelf"
"Shelf","Muddy shelves","M1.8","Port St Johns Muddy Shelf Edge"
"Shelf","Muddy shelves","M1.8","uThukela Mid Shelf Mud Coarse Sediment Mosaic"
"Shelf","Muddy shelves","M1.8","uThukela Outer Shelf Muddy Reef Mosaic"
"Shelf","Photic rocky reefs","M1.6","Agulhas Inner Shelf Reef"
"Shelf","Photic rocky reefs","M1.6","Agulhas Inner Shelf Mosaic"
"Shelf","Photic rocky reefs","M1.6","Aliwal Shoal Reef Complex"
"Shelf","Photic rocky reefs","M1.6","Cape Rocky Inner Shelf"
"Shelf","Photic rocky reefs","M1.6","Durnford Inner Shelf Reef Complex"
"Shelf","Photic coral reefs","M1.3","Kosi Coral Community"
"Shelf","Photic coral reefs","M1.3","Leadsman Coral Community"
"Shelf","Photic rocky reefs","M1.6","Port St Johns Inner Shelf Mosaic"
"Shelf","Photic coral reefs","M1.3","Sodwana Coral Community"
"Shelf","Photic rocky reefs","M1.6","Trafalgar Reef Complex"
"Shore","Boulder/cobble shores","MT1.4","Agulhas Boulder Shore"
"Shore","Rocky shores","MT1.1","Agulhas Exposed Stromatolite Rocky Shore"
"Shore","Rocky shores","MT1.1","Agulhas Exposed Rocky Shore"
"Shore","Rocky shores","MT1.1","Agulhas Sheltered Rocky Shore"
"Shore","Rocky shores","MT1.1","Agulhas Very Exposed Stromatolite Rocky Shore"
"Shore","Rocky shores","MT1.1","Agulhas Very Exposed Rocky Shore"
"Shore","Boulder/cobble shores","MT1.4","Cape Boulder Shore"
"Shore","Rocky shores","MT1.1","Cape Exposed Rocky Shore"
"Shore","Rocky shores","MT1.1","Cape Sheltered Rocky Shore"
"Shore","Rocky shores","MT1.1","Cape Very Exposed Rocky Shore"
