"","Estuary name","Estuary type","Threat status"
"1","Orange","Cool Temperate Large Fluvially Dominated","Endangered"
"2","Buffels","Cool Temperate Arid Predominantly Closed","Endangered"
"3","Swartlintjies","Cool Temperate Arid Predominantly Closed","Endangered"
"4","Spoeg","Cool Temperate Arid Predominantly Closed","Endangered"
"5","Groen","Cool Temperate Arid Predominantly Closed","Endangered"
"6","Sout (Noord)","Cool Temperate Arid Predominantly Closed","Endangered"
"7","Olifants","Cool Temperate Predominantly Open","Endangered"
"8","Jakkals","Cool Temperate Large Temporarily Closed","Endangered"
"9","Wadrift","Cool Temperate Arid Predominantly Closed","Endangered"
"10","Verlorenvlei","Cool Temperate Estuarine Lake","Endangered"
"11","Groot Berg","Cool Temperate Predominantly Open","Endangered"
"12","Langebaan","Cool Temperate Estuarine Lagoon","Endangered"
"13","Diep/Rietvlei","Cool Temperate Large Temporarily Closed","Endangered"
"14","Sout (Wes)","Cool Temperate Large Temporarily Closed","Endangered"
"15","Disa","Cool Temperate Large Temporarily Closed","Endangered"
"16","Wildevoëlvlei","Cool Temperate Large Temporarily Closed","Endangered"
"17","Schuster","Cool Temperate Small Temporarily Closed","Vulnerable"
"18","Krom","Cool Temperate Small Temporarily Closed","Vulnerable"
"19","Silwermyn","Cool Temperate Large Temporarily Closed","Endangered"
"20","Zand","Cool Temperate Large Temporarily Closed","Endangered"
"21","Zeekoei","Cool Temperate Estuarine Lake","Endangered"
"22","Eerste","Cool Temperate Large Temporarily Closed","Endangered"
"23","Lourens","Cool Temperate Small Temporarily Closed","Vulnerable"
"24","Sir Lowry’s Pass","Cool Temperate Small Temporarily Closed","Vulnerable"
"25","Steenbras","Cool Temperate Small Fluvially Dominated","Vulnerable"
"26","Rooiels","Cool Temperate Small Temporarily Closed","Vulnerable"
"27","Buffels (Oos)","Cool Temperate Small Temporarily Closed","Vulnerable"
"28","Palmiet","Cool Temperate Large Temporarily Closed","Endangered"
"29","Bot/Kleinmond","Cool Temperate Estuarine Lake","Endangered"
"30","Onrus","Cool Temperate Small Temporarily Closed","Vulnerable"
"31","Klein","Cool Temperate Estuarine Lake","Endangered"
"32","Uilkraals","Cool Temperate Predominantly Open","Endangered"
"33","Ratel","Cool Temperate Small Temporarily Closed","Vulnerable"
"34","Heuningnes","Warm Temperate Estuarine Lake","Endangered"
"35","Klipdrifsfontein","Warm Temperate Small Temporarily Closed","Least Concern"
"36","Breede","Warm Temperate Predominantly Open","Vulnerable"
